id,value
id_0,29
id_1,61
id_2,19
id_3,24
id_4,15
id_5,34
id_6,41
id_7,19
id_8,49
id_9,48
id_10,40
id_11,64
id_12,28
id_13,46
id_14,22
id_15,11
id_16,45
id_17,21
id_18,16
id_19,23
id_20,13
id_21,21
id_22,42
id_23,1
id_24,69
id_25,60
id_26,28
id_27,9
id_28,27
id_29,41
id_30,26
id_31,10
id_32,14
id_33,4
id_34,16
id_35,36
id_36,19
id_37,27
id_38,11
id_39,69
id_40,53
id_41,0
id_42,58
id_43,7
id_44,67
id_45,50
id_46,63
id_47,33
id_48,67
id_49,52
id_50,24
id_51,16
id_52,46
id_53,37
id_54,41
id_55,45
id_56,31
id_57,22
id_58,36
id_59,27
id_60,18
id_61,9
id_62,32
id_63,72
id_64,62
id_65,33
id_66,43
id_67,53
id_68,34
id_69,31
id_70,63
id_71,50
id_72,52
id_73,10
id_74,14
id_75,40
id_76,69
id_77,0
id_78,43
id_79,39
id_80,7
id_81,22
id_82,14
id_83,30
id_84,14
id_85,0
id_86,18
id_87,13
id_88,1
id_89,19
id_90,41
id_91,17
id_92,8
id_93,6
id_94,38
id_95,6
id_96,15
id_97,7
id_98,15
id_99,0
id_100,12
id_101,20
id_102,5
id_103,2
id_104,19
id_105,53
id_106,26
id_107,5
id_108,7
id_109,15
id_110,9
id_111,15
id_112,12
id_113,30
id_114,26
id_115,12
id_116,12
id_117,47
id_118,31
id_119,0
id_120,4
id_121,12
id_122,17
id_123,11
id_124,7
id_125,25
id_126,25
id_127,10
id_128,14
id_129,9
id_130,4
id_131,40
id_132,11
id_133,4
id_134,32
id_135,30
id_136,1
id_137,13
id_138,89
id_139,62
id_140,28
id_141,19
id_142,34
id_143,3
id_144,10
id_145,0
id_146,20
id_147,8
id_148,10
id_149,22
id_150,65
id_151,20
id_152,21
id_153,19
id_154,7
id_155,22
id_156,25
id_157,45
id_158,0
id_159,21
id_160,32
id_161,26
id_162,53
id_163,15
id_164,47
id_165,30
id_166,23
id_167,0
id_168,80
id_169,12
id_170,14
id_171,90
id_172,36
id_173,0
id_174,14
id_175,0
id_176,5
id_177,10
id_178,26
id_179,23
id_180,48
id_181,35
id_182,21
id_183,3
id_184,16
id_185,43
id_186,42
id_187,41
id_188,7
id_189,28
id_190,12
id_191,10
id_192,37
id_193,86
id_194,23
id_195,10
id_196,64
id_197,18
id_198,21
id_199,22
id_200,168
id_201,27
id_202,58
id_203,0
id_204,64
id_205,54
id_206,24
id_207,6
id_208,76
id_209,4
id_210,38
id_211,71
id_212,22
id_213,108
id_214,43
id_215,84
id_216,120
id_217,84
id_218,24
id_219,4
id_220,22
id_221,40
id_222,34
id_223,61
id_224,41
id_225,1
id_226,0
id_227,88
id_228,25
id_229,0
id_230,39
id_231,17
id_232,33
id_233,8
id_234,12
id_235,28
id_236,21
id_237,0
id_238,17
id_239,0
