ID,class
0,6
1,8
2,0
3,4
4,6
5,0
6,5
7,0
8,0
9,0
10,7
11,2
12,1
13,2
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,9
22,1
23,1
24,2
25,7
26,0
27,9
28,0
29,4
30,5
31,6
32,1
33,4
34,9
35,1
36,6
37,3
38,7
39,4
40,5
41,9
42,1
43,4
44,4
45,8
46,6
47,4
48,3
49,9
50,6
51,6
52,8
53,6
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,6
63,4
64,6
65,9
66,0
67,5
68,4
69,6
70,1
71,2
72,6
73,9
74,6
75,4
76,5
77,6
78,1
79,8
80,4
81,5
82,1
83,6
84,1
85,8
86,4
87,7
88,7
89,7
90,8
91,7
92,1
93,9
94,9
95,5
96,6
97,0
98,3
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,6
118,9
119,7
120,0
121,1
122,5
123,6
124,9
125,2
126,6
127,6
128,6
129,7
130,6
131,7
132,0
133,6
134,8
135,9
136,8
137,9
138,7
139,6
140,6
141,6
142,0
143,6
144,8
145,6
146,0
147,6
148,4
149,6
150,7
151,2
152,7
153,9
154,1
155,1
156,5
157,2
158,1
159,8
160,9
161,8
162,0
163,6
164,9
165,4
166,4
167,8
168,8
169,0
170,4
171,4
172,5
173,0
174,1
175,8
176,0
177,4
178,1
179,5
180,5
181,3
182,6
183,2
184,2
185,9
186,9
187,9
188,1
189,5
190,7
191,0
192,3
193,6
194,5
195,5
196,8
197,7
198,1
199,5
200,3
201,6
202,8
203,2
204,0
205,1
206,5
207,5
208,6
209,8
210,7
211,0
212,1
213,5
214,5
215,8
216,2
217,5
218,1
219,8
220,8
221,7
222,4
223,6
224,9
225,4
226,6
227,0
228,5
229,4
230,9
231,1
232,6
233,6
234,1
235,1
236,6
237,2
238,4
239,6
240,6
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,0
250,2
251,6
252,0
253,8
254,2
255,6
256,4
257,0
258,3
259,1
260,2
261,0
262,6
263,6
264,0
265,8
266,5
267,9
268,6
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,1
278,1
279,4
280,9
281,9
282,7
283,0
284,1
285,6
286,4
287,6
288,0
289,4
290,8
291,7
292,7
293,8
294,5
295,8
296,7
297,2
298,8
299,1
300,1
301,8
302,7
303,1
304,8
305,4
306,0
307,6
308,0
309,8
310,8
311,7
312,0
313,6
314,7
315,2
316,5
317,2
318,4
319,8
320,1
321,6
322,2
323,9
324,6
325,4
326,5
327,7
328,4
329,4
330,1
331,3
332,6
333,7
334,6
335,3
336,0
337,5
338,1
339,0
340,7
341,8
342,8
343,7
344,2
345,9
346,5
347,8
348,6
349,9
350,6
351,1
352,5
353,9
354,9
355,0
356,1
357,3
358,7
359,0
360,0
361,4
362,4
363,8
364,0
365,8
366,9
367,1
368,6
369,0
370,4
371,3
372,6
373,4
374,1
375,9
376,9
377,9
378,1
379,6
380,2
381,2
382,1
383,0
384,8
385,5
386,6
387,1
388,6
389,3
390,6
391,3
392,9
393,0
394,2
395,0
396,1
397,5
398,5
399,7
400,1
401,4
402,6
403,3
404,0
405,6
406,8
407,6
408,8
409,4
410,6
411,8
412,0
413,9
414,6
415,1
416,0
417,7
418,0
419,9
420,8
421,0
422,5
423,9
424,6
425,8
426,2
427,6
428,8
429,8
430,8
431,6
432,6
433,4
434,9
435,6
436,0
437,7
438,9
439,7
440,9
441,4
442,1
443,3
444,3
445,1
446,4
447,0
448,3
449,6
450,2
451,1
452,1
453,6
454,9
455,3
456,4
457,5
458,6
459,9
460,9
461,0
462,1
463,6
464,6
465,2
466,0
467,7
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,0
482,5
483,7
484,8
485,5
486,1
487,6
488,6
489,3
490,0
491,1
492,5
493,0
494,0
495,8
496,7
497,6
498,7
499,1
500,2
501,9
502,0
503,5
504,7
505,2
506,6
507,6
508,2
509,2
510,8
511,9
512,8
513,4
514,0
515,8
516,2
517,3
518,6
519,3
520,5
521,2
522,6
523,7
524,8
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,6
534,5
535,1
536,6
537,7
538,7
539,4
540,4
541,9
542,1
543,7
544,6
