ID,class
0,9
1,8
2,0
3,7
4,6
5,0
6,3
7,7
8,0
9,0
10,7
11,2
12,1
13,3
14,1
15,8
16,5
17,1
18,8
19,9
20,9
21,9
22,9
23,1
24,2
25,7
26,5
27,1
28,0
29,4
30,7
31,6
32,1
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,4
45,0
46,6
47,4
48,3
49,9
50,6
51,6
52,0
53,6
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,4
64,5
65,9
66,0
67,5
68,7
69,5
70,1
71,2
72,5
73,9
74,6
75,4
76,2
77,2
78,1
79,8
80,4
81,5
82,1
83,3
84,1
85,6
86,4
87,7
88,7
89,7
90,0
91,7
92,1
93,1
94,9
95,5
96,6
97,0
98,5
99,1
100,6
101,0
102,1
103,0
104,0
105,5
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,9
116,9
117,7
118,1
119,4
120,0
121,1
122,8
123,6
124,9
125,2
126,3
127,6
128,6
129,7
130,2
131,1
132,0
133,3
134,8
135,9
136,4
137,8
138,7
139,7
140,6
141,6
142,0
143,6
144,0
145,2
146,0
147,6
148,5
149,6
150,7
151,4
152,7
153,3
154,1
155,1
156,6
157,7
158,1
159,8
160,9
161,8
162,0
163,6
164,1
165,4
166,3
167,1
168,8
169,0
170,4
171,4
172,5
173,0
174,1
175,8
176,4
177,8
178,9
179,3
180,5
181,3
182,6
183,2
184,2
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,3
201,6
202,9
203,4
204,0
205,1
206,5
207,5
208,6
209,1
210,7
211,0
212,1
213,5
214,3
215,8
216,4
217,6
218,3
219,5
220,8
221,7
222,0
223,6
224,9
225,4
226,6
227,3
228,5
229,4
230,9
231,1
232,5
233,3
234,1
235,1
236,2
237,2
238,2
239,4
240,3
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,0
250,7
251,7
252,0
253,8
254,2
255,4
256,4
257,3
258,3
259,5
260,3
261,0
262,6
263,5
264,0
265,8
266,5
267,5
268,6
269,8
270,1
271,9
272,5
273,7
274,0
275,5
276,0
277,1
278,1
279,4
280,9
281,9
282,7
283,8
284,1
285,6
286,6
287,6
288,0
289,4
290,8
291,7
292,7
293,8
294,5
295,8
296,7
297,2
298,1
299,1
300,1
301,0
302,7
303,1
304,0
305,7
306,0
307,6
308,0
309,8
310,8
311,7
312,0
313,6
314,7
315,2
316,5
317,5
318,3
319,8
320,1
321,6
322,2
323,9
324,6
325,4
326,5
327,7
328,6
329,7
330,1
331,5
332,6
333,7
334,6
335,3
336,0
337,5
338,1
339,0
340,3
341,0
342,8
343,7
344,3
345,8
346,5
347,6
348,2
349,9
350,5
351,1
352,5
353,1
354,9
355,0
356,9
357,3
358,5
359,0
360,0
361,4
362,4
363,8
364,2
365,3
366,9
367,1
368,6
369,3
370,4
371,5
372,6
373,4
374,1
375,9
376,3
377,9
378,1
379,6
380,2
381,2
382,1
383,8
384,8
385,5
386,8
387,1
388,8
389,5
390,6
391,3
392,9
393,0
394,6
395,7
396,9
397,5
398,5
399,7
400,5
401,4
402,6
403,3
404,8
405,4
406,8
407,6
408,8
409,4
410,6
411,8
412,0
413,9
414,6
415,9
416,0
417,5
418,0
419,1
420,8
421,3
422,5
423,9
424,6
425,8
426,3
427,5
428,8
429,0
430,8
431,6
432,6
433,4
434,1
435,6
436,0
437,7
438,2
439,7
440,3
441,0
442,1
443,3
444,4
445,1
446,4
447,0
448,5
449,6
450,2
451,1
452,1
453,6
454,9
455,3
456,4
457,8
458,3
459,9
460,9
461,0
462,1
463,3
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,5
477,1
478,6
479,6
480,9
481,0
482,5
483,7
484,8
485,5
486,1
487,6
488,6
489,3
490,0
491,1
492,3
493,0
494,6
495,3
496,7
497,6
498,7
499,1
500,2
501,3
502,9
503,4
504,5
505,0
506,3
507,2
508,2
509,2
510,8
511,9
512,8
513,5
514,0
515,8
516,2
517,3
518,5
519,2
520,5
521,5
522,2
523,7
524,8
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,5
534,5
535,9
536,6
537,7
538,7
539,4
540,7
541,5
542,6
543,7
544,6
545,7
546,9
547,4
548,1
549,5
550,9
551,1
552,5
553,1
554,9
555,7
556,6
557,9
558,6
559,5
560,1
561,6
562,7
563,2
564,7
565,5
566,9
567,9
568,5
569,8
570,6
571,9
572,0
573,2
574,0
575,5
576,0
577,4
578,0
579,4
580,9
581,7
582,6
583,6
584,4
585,4
586,4
587,6
588,7
589,7
590,4
591,8
592,4
593,7
594,5
595,1
596,1
597,2
598,7
599,6
600,8
601,1
602,1
603,3
604,9
605,0
606,0
607,0
608,5
609,5
610,4
611,0
612,6
613,6
614,4
615,5
616,8
617,6
618,7
619,8
620,1
621,5
622,0
623,5
624,7
625,7
626,2
627,5
628,9
629,1
630,6
631,1
632,8
633,0
634,1
635,8
636,3
637,9
638,9
639,1
640,1
641,9
642,6
643,4
644,5
645,0
646,9
647,5
648,8
649,6
650,4
651,7
652,5
653,8
654,5
655,2
656,8
657,4
658,7
659,5
660,0
661,4
662,3
663,7
664,0
665,4
666,5
667,7
668,6
669,8
670,9
671,8
672,5
673,3
674,4
675,1
676,9
677,6
678,1
679,4
680,3
681,0
682,0
683,5
684,5
685,0
686,7
687,5
688,3
689,4
690,1
691,8
692,1
693,7
694,8
695,8
696,9
697,5
698,7
699,0
700,8
701,3
702,7
703,3
704,5
705,0
706,5
707,8
708,4
709,8
710,4
711,0
712,9
713,4
714,3
715,7
716,3
717,7
718,8
719,0
720,4
721,5
722,9
723,2
724,2
725,6
726,1
727,3
728,1
729,7
730,5
731,4
732,9
733,6
734,0
735,9
736,8
737,6
738,3
739,6
740,0
741,5
742,4
743,7
744,2
745,4
746,2
747,5
748,7
749,2
750,1
751,4
752,6
753,7
754,6
755,8
756,9
757,2
758,8
759,6
760,3
761,0
762,6
763,8
764,5
765,6
766,4
767,5
768,3
769,5
770,0
771,2
772,2
773,9
774,2
775,2
776,0
777,1
778,7
779,1
780,3
781,0
782,0
783,3
784,4
785,9
786,0
787,6
788,1
789,8
790,2
791,1
792,7
793,7
794,5
795,5
796,9
797,6
798,8
799,1
800,7
801,7
802,5
803,7
804,7
805,4
806,7
807,7
808,2
809,2
810,6
811,8
812,1
813,5
814,2
815,1
816,0
817,2
818,0
819,6
820,8
821,1
822,5
823,0
824,9
825,6
826,7
827,6
828,1
829,3
830,0
831,5
832,8
833,4
834,6
835,5
836,1
837,0
838,9
839,5
840,4
841,1
842,6
843,1
844,3
845,8
846,8
847,0
848,9
849,8
850,7
851,6
852,3
853,4
854,0
855,6
856,6
857,2
858,6
859,3
860,9
861,5
862,1
863,8
864,7
865,8
866,9
867,4
868,9
869,5
870,6
871,4
872,2
873,1
874,2
875,5
876,6
877,9
878,2
879,8
880,1
881,6
882,4
883,9
884,0
885,8
886,5
887,6
888,9
889,1
890,1
891,4
892,9
893,0
894,3
895,6
896,3
897,0
898,1
899,9
900,8
901,0
902,1
903,9
904,6
905,5
906,4
907,5
908,6
909,4
910,5
911,7
912,1
913,6
914,7
915,5
916,3
917,2
918,2
919,1
920,4
921,2
922,0
923,3
924,0
925,7
926,9
927,2
928,7
929,6
930,8
931,8
932,5
933,6
934,2
935,7
936,1
937,1
938,7
939,8
940,0
941,7
942,8
943,7
944,6
945,8
946,6
947,1
948,9
949,5
950,3
951,3
952,3
953,9
954,6
955,0
956,5
957,1
958,0
959,0
960,3
961,6
962,9
963,1
964,1
965,0
966,9
967,5
968,2
969,5
970,6
971,5
972,8
973,9
974,9
975,8
976,0
977,7
978,6
979,9
980,6
981,5
982,9
983,6
984,4
985,0
986,7
987,7
988,3
989,9
990,0
991,9
992,1
993,6
994,5
995,0
996,1
997,7
998,1
999,6
1000,3
1001,6
1002,6
1003,3
1004,0
1005,7
1006,6
1007,5
1008,9
1009,5
1010,7
1011,1
1012,7
1013,7
1014,0
1015,6
1016,6
1017,9
1018,6
1019,2
1020,0
1021,1
1022,7
1023,0
1024,3
1025,5
1026,4
1027,9
1028,0
1029,8
1030,0
1031,0
1032,9
1033,3
1034,8
1035,1
1036,0
1037,8
1038,6
1039,8
1040,2
1041,6
1042,3
1043,9
1044,5
1045,0
1046,3
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,9
1054,3
1055,1
1056,1
1057,3
1058,4
1059,8
1060,3
1061,4
1062,5
1063,0
1064,6
1065,0
1066,6
1067,1
1068,9
1069,6
1070,4
1071,6
1072,9
1073,1
1074,5
1075,3
1076,1
1077,7
1078,8
1079,9
1080,1
1081,4
1082,0
1083,1
1084,1
1085,9
1086,5
1087,3
1088,9
1089,1
1090,6
1091,8
1092,9
1093,4
1094,5
1095,0
1096,4
1097,2
1098,8
1099,0
1100,8
1101,7
1102,5
1103,5
1104,3
1105,3
1106,2
1107,1
1108,1
1109,2
1110,3
1111,6
1112,6
1113,9
1114,0
1115,4
1116,7
1117,8
1118,8
1119,5
1120,8
1121,5
1122,6
1123,5
1124,6
1125,0
1126,1
1127,9
1128,3
1129,1
1130,6
1131,5
1132,7
1133,2
1134,4
1135,8
1136,7
1137,4
1138,8
1139,4
1140,5
1141,5
1142,7
1143,1
1144,8
1145,5
1146,9
1147,6
1148,0
1149,2
1150,2
1151,4
1152,8
1153,9
1154,7
1155,7
1156,9
1157,2
1158,7
1159,7
1160,6
1161,1
1162,7
1163,5
1164,7
1165,6
1166,0
1167,8
1168,1
1169,8
1170,1
1171,1
1172,0
1173,6
1174,5
1175,5
1176,6
1177,8
1178,8
1179,9
1180,1
1181,9
1182,0
1183,8
1184,1
1185,4
1186,9
1187,1
1188,8
1189,9
1190,7
1191,2
1192,3
1193,3
1194,1
1195,0
1196,6
1197,7
1198,1
1199,1
1200,3
1201,6
1202,7
1203,6
1204,1
1205,2
1206,2
1207,4
1208,7
1209,7
1210,4
1211,1
1212,6
1213,9
1214,7
1215,6
1216,8
1217,1
1218,1
1219,5
1220,7
1221,5
1222,4
1223,8
1224,8
1225,0
1226,3
1227,5
1228,5
1229,4
1230,0
1231,2
1232,8
1233,8
1234,2
1235,6
1236,2
1237,1
1238,4
1239,0
1240,1
1241,6
1242,4
1243,1
1244,7
1245,1
1246,1
1247,7
1248,5
1249,4
1250,8
1251,5
1252,5
1253,2
1254,0
1255,1
1256,5
1257,1
1258,3
1259,5
1260,4
1261,6
1262,6
1263,7
1264,6
1265,0
1266,2
1267,1
1268,0
1269,1
1270,0
1271,5
1272,8
1273,0
1274,0
1275,6
1276,8
1277,2
1278,5
1279,2
1280,5
1281,4
1282,8
1283,4
1284,1
1285,3
1286,6
1287,4
1288,6
1289,6
1290,6
1291,4
1292,3
1293,8
1294,4
1295,0
1296,7
1297,0
1298,1
1299,9
1300,2
1301,6
1302,5
1303,7
1304,4
1305,9
1306,5
1307,3
1308,7
1309,2
1310,8
1311,7
1312,4
1313,5
1314,8
1315,2
1316,3
1317,4
1318,7
1319,9
1320,3
1321,5
1322,8
1323,7
1324,8
1325,8
1326,4
1327,4
1328,1
1329,8
1330,9
1331,7
1332,7
1333,4
1334,4
1335,3
1336,0
1337,0
1338,1
1339,7
1340,7
1341,0
1342,2
1343,7
1344,9
1345,7
1346,8
1347,5
1348,8
1349,5
1350,6
1351,8
1352,6
1353,0
1354,8
1355,2
1356,6
1357,5
1358,2
1359,3
1360,4
1361,7
1362,2
1363,7
1364,1
1365,5
1366,3
1367,8
1368,8
1369,0
1370,8
1371,1
1372,1
1373,1
1374,9
1375,6
1376,1
1377,6
1378,3
1379,6
1380,7
1381,3
1382,5
1383,1
1384,7
1385,4
1386,8
1387,6
1388,1
1389,1
1390,6
1391,8
1392,2
1393,5
1394,2
1395,4
1396,2
1397,8
1398,1
1399,6
1400,4
1401,9
1402,7
1403,4
1404,6
1405,5
1406,1
1407,9
1408,1
1409,4
1410,8
1411,0
1412,1
1413,0
1414,9
1415,9
1416,5
1417,4
1418,6
1419,7
1420,9
1421,5
1422,1
1423,8
1424,6
1425,7
1426,9
1427,4
1428,8
1429,9
1430,4
1431,5
1432,0
1433,9
1434,0
1435,5
1436,7
1437,8
1438,5
1439,5
1440,8
1441,2
1442,8
1443,7
1444,5
1445,5
1446,1
1447,9
1448,7
1449,7
1450,0
1451,3
1452,8
1453,5
1454,1
1455,2
1456,7
1457,2
1458,9
1459,8
1460,5
1461,1
1462,8
1463,5
1464,8
1465,4
1466,4
1467,4
1468,8
1469,3
1470,5
1471,5
1472,2
1473,5
1474,4
1475,1
1476,5
1477,3
1478,1
1479,6
1480,8
1481,3
1482,6
1483,2
1484,6
1485,5
1486,9
1487,7
1488,2
1489,1
1490,0
1491,8
1492,6
1493,2
1494,9
1495,3
1496,0
1497,7
1498,2
1499,6
1500,9
1501,4
1502,8
1503,6
1504,2
1505,3
1506,5
1507,5
1508,7
1509,0
1510,6
1511,8
1512,9
1513,6
1514,7
1515,3
1516,4
1517,0
1518,9
1519,3
1520,1
1521,0
1522,5
1523,3
1524,9
1525,8
1526,0
1527,2
1528,3
1529,0
1530,0
1531,8
1532,7
1533,3
1534,5
1535,4
1536,9
1537,4
1538,3
1539,6
1540,5
1541,5
1542,2
1543,7
1544,4
1545,1
1546,3
1547,8
1548,9
1549,1
1550,3
1551,3
1552,6
1553,6
1554,7
1555,8
1556,7
1557,0
1558,2
1559,1
1560,1
1561,6
1562,6
1563,4
1564,4
1565,8
1566,6
1567,7
1568,5
1569,6
1570,3
1571,0
1572,9
1573,7
1574,0
1575,6
1576,7
1577,7
1578,8
1579,0
1580,0
1581,6
1582,7
1583,0
1584,6
1585,9
1586,4
1587,6
1588,7
1589,5
1590,1
1591,6
1592,8
1593,4
1594,4
1595,6
1596,7
1597,0
1598,5
1599,6
1600,7
1601,2
1602,1
1603,7
1604,0
1605,2
1606,0
1607,6
1608,0
1609,3
1610,5
1611,8
1612,1
1613,9
1614,3
1615,0
1616,7
1617,4
1618,1
1619,6
1620,1
1621,1
1622,1
1623,2
1624,5
1625,6
1626,4
1627,3
1628,1
1629,1
1630,5
1631,7
1632,6
1633,5
1634,0
