ID,class
0,6
1,8
2,0
3,7
4,6
5,0
6,7
7,7
8,4
9,0
10,7
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,1
21,9
22,1
23,6
24,7
25,7
26,5
27,1
28,0
29,4
30,7
31,6
32,1
33,4
34,9
35,1
36,7
37,7
38,7
39,4
40,3
41,1
42,1
43,6
44,4
45,4
46,6
47,4
48,3
49,9
50,6
51,6
52,8
53,6
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,6
64,5
65,9
66,0
67,5
68,7
69,6
70,1
71,2
72,5
73,9
74,6
75,4
76,2
77,2
78,1
79,8
80,4
81,5
82,1
83,3
84,1
85,8
86,2
87,7
88,7
89,7
90,4
91,7
92,1
93,6
94,9
95,5
96,6
97,0
98,5
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,4
118,1
119,4
120,0
121,1
122,8
123,6
124,9
125,6
126,2
127,6
128,6
129,7
130,6
131,1
132,0
133,3
134,8
135,9
136,4
137,9
138,7
139,3
140,6
141,6
142,0
143,6
144,0
145,6
146,2
147,6
148,4
149,6
150,7
151,7
152,7
153,9
154,1
155,1
156,6
157,2
158,1
159,8
160,9
161,8
162,4
163,6
164,9
165,5
166,2
167,1
168,8
169,0
170,7
171,4
172,6
173,0
174,1
175,8
176,6
177,3
178,9
179,5
180,5
181,3
182,6
183,2
184,2
185,9
186,7
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,3
201,6
202,9
203,7
204,0
205,1
206,5
207,5
208,6
209,8
210,5
211,0
212,1
213,5
214,6
215,8
216,2
217,6
218,6
219,8
220,8
221,7
222,4
223,6
224,1
225,4
226,6
227,0
228,5
229,6
230,9
231,1
232,6
233,5
234,1
235,1
236,6
237,2
238,4
239,6
240,6
241,0
242,4
243,7
244,9
245,6
246,6
247,4
248,1
249,4
250,7
251,6
252,0
253,8
254,5
255,6
256,4
257,3
258,3
259,5
260,2
261,0
262,6
263,5
264,0
265,8
266,5
267,5
268,6
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,1
278,1
279,4
280,9
281,9
282,7
283,8
284,1
285,6
286,6
287,3
288,7
289,4
290,8
291,7
292,7
293,8
294,5
295,8
296,7
297,4
298,8
299,1
300,1
301,4
302,7
303,1
304,0
305,4
306,0
307,6
308,0
309,5
310,8
311,7
312,0
313,6
314,7
315,2
316,5
317,3
318,4
319,8
320,1
321,6
322,2
323,9
324,6
325,4
326,8
327,7
328,6
329,7
330,0
331,5
332,6
333,7
334,6
335,3
336,0
337,5
338,1
339,0
340,7
341,4
342,8
343,7
344,3
345,8
346,4
347,6
348,2
349,9
350,5
351,1
352,5
353,9
354,9
355,0
356,1
357,6
358,7
359,6
360,0
361,6
362,4
363,8
364,2
365,3
366,9
367,1
368,6
369,3
370,6
371,9
372,6
373,4
374,1
375,9
376,5
377,9
378,1
379,6
380,2
381,2
382,1
383,0
384,8
385,5
386,6
387,1
388,6
389,3
390,6
391,3
392,9
393,0
394,6
395,0
396,7
397,5
398,5
399,7
400,5
401,4
402,6
403,3
404,1
405,4
406,8
407,6
408,8
409,6
410,6
411,8
412,0
413,9
414,6
415,9
416,0
417,7
418,0
419,9
420,8
421,3
422,5
423,9
424,6
425,8
426,3
427,6
428,8
429,2
430,5
431,6
432,6
433,4
434,1
435,6
436,0
437,5
438,5
439,7
440,3
441,9
442,1
443,3
444,4
445,1
446,4
447,0
448,5
449,6
450,2
451,1
452,1
453,6
454,6
455,3
456,7
457,5
458,6
459,9
460,9
461,7
462,1
463,6
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,4
477,1
478,6
479,6
480,1
481,0
482,5
483,7
484,8
485,5
486,1
487,6
488,6
489,5
490,0
491,1
492,3
493,0
494,0
495,8
496,7
497,6
498,7
499,1
500,2
501,3
502,9
503,6
504,7
505,6
506,6
507,4
508,2
509,2
510,8
511,9
512,8
513,5
514,0
515,8
516,7
517,3
518,6
519,2
520,5
521,2
522,6
523,7
524,9
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,4
534,7
535,8
536,6
537,7
538,7
539,4
540,7
541,4
542,6
543,7
544,6
