ID,class
0,6
1,8
2,0
3,5
4,4
5,8
6,5
7,1
8,0
9,0
10,7
11,4
12,1
13,0
14,9
15,1
16,5
17,1
18,1
19,9
20,1
21,9
22,0
23,5
24,4
25,7
26,3
27,9
28,9
29,4
30,7
31,6
32,7
33,4
34,9
35,1
36,6
37,2
38,7
39,4
40,5
41,9
42,1
43,4
44,2
45,0
46,6
47,4
48,3
49,9
50,3
51,6
52,9
53,2
54,1
55,0
56,8
57,0
58,7
59,7
60,7
61,6
62,6
63,4
64,2
65,9
66,0
67,5
68,2
69,5
70,1
71,2
72,6
73,9
74,6
75,4
76,2
77,7
78,1
79,3
80,0
81,3
82,1
83,3
84,1
85,0
86,6
87,4
88,7
89,7
90,0
91,7
92,1
93,8
94,3
95,5
96,2
97,4
98,3
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,1
107,8
108,7
109,5
110,7
111,1
112,3
113,6
114,0
115,9
116,0
117,4
118,9
119,4
120,0
121,1
122,5
123,6
124,9
125,2
126,1
127,6
128,6
129,7
130,2
131,7
132,9
133,2
134,9
135,9
136,8
137,1
138,7
139,3
140,2
141,6
142,0
143,5
144,0
145,2
146,0
147,6
148,7
149,2
150,3
151,4
152,0
153,2
154,1
155,1
156,5
157,4
158,1
159,0
160,9
161,8
162,8
163,4
164,9
165,5
166,6
167,8
168,8
169,0
170,4
171,4
172,5
173,0
174,8
175,8
176,3
177,3
178,0
179,5
180,5
181,3
182,4
183,2
184,5
185,9
186,9
187,9
188,9
189,6
190,7
191,0
192,0
193,2
194,5
195,4
196,8
197,3
198,9
199,1
200,3
201,7
202,9
203,4
204,0
205,1
206,6
207,3
208,6
209,0
210,5
211,0
212,9
213,5
214,5
215,8
216,4
217,7
218,3
219,3
220,1
221,7
222,0
223,6
224,1
225,5
226,4
227,0
228,3
229,4
230,9
231,1
232,5
233,6
234,1
235,9
236,6
237,2
238,2
239,2
240,6
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,4
250,7
251,7
252,0
253,8
254,2
255,5
256,4
257,5
258,3
259,3
260,2
261,0
262,6
263,3
264,0
265,8
266,5
267,3
268,7
269,8
270,9
271,1
272,6
273,7
274,0
275,5
276,9
277,9
278,3
279,6
280,5
281,9
282,7
283,0
284,1
285,7
286,6
287,5
288,1
289,4
290,8
291,7
292,7
293,1
294,7
295,0
296,7
297,4
298,9
299,9
300,1
301,0
302,7
303,1
304,0
305,2
306,0
307,6
308,0
309,8
310,7
311,7
312,0
313,5
314,7
315,2
316,3
317,1
318,5
319,8
320,1
321,6
322,2
323,9
324,6
325,2
326,5
327,7
328,2
329,4
330,1
331,3
332,6
333,7
334,4
335,3
336,2
337,3
338,1
339,0
340,6
341,8
342,8
343,7
344,3
345,9
346,2
347,8
348,2
349,9
350,5
351,9
352,0
353,9
354,0
355,0
356,9
357,3
358,7
359,0
360,0
361,6
362,4
363,8
364,0
365,3
366,1
367,1
368,6
369,7
370,6
371,3
372,6
373,5
374,1
375,1
376,3
377,9
378,1
379,4
380,8
381,2
382,9
383,8
384,8
385,0
386,6
387,9
388,0
389,5
390,6
391,3
392,1
393,0
394,6
395,0
396,3
397,3
398,7
399,6
400,1
401,4
402,6
403,3
404,1
405,6
406,8
407,6
408,8
409,4
410,4
411,8
412,0
413,0
414,6
415,7
416,0
417,9
418,5
419,0
420,8
421,5
422,6
423,9
424,6
425,8
426,3
427,6
428,8
429,0
430,0
431,3
432,6
433,3
434,8
435,6
436,0
437,5
438,8
439,7
440,9
441,0
442,1
443,3
444,3
445,1
446,4
447,0
448,5
449,3
450,3
451,1
452,1
453,2
454,9
455,5
456,4
457,5
458,6
459,8
460,0
461,0
462,1
463,5
464,6
465,2
466,0
467,7
468,8
469,0
470,1
471,0
472,8
473,9
474,4
475,6
476,7
477,1
478,6
479,6
480,1
481,8
482,5
483,7
484,8
485,6
486,1
487,4
488,6
489,3
490,0
491,1
492,5
493,0
494,4
495,2
496,1
497,6
498,7
499,1
500,5
501,9
502,9
503,0
504,7
505,3
506,6
507,2
508,2
509,5
510,8
511,1
512,8
513,6
514,0
515,8
516,4
517,5
518,7
519,3
520,5
521,2
522,7
523,7
524,1
525,5
526,6
527,4
528,4
529,6
530,8
531,7
532,8
533,4
534,7
535,1
536,6
537,0
538,7
539,4
540,4
541,6
542,6
543,9
544,6
