ID,class
0,1
1,8
2,0
3,5
4,2
5,0
6,5
7,1
8,4
9,0
10,2
11,3
12,1
13,5
14,9
15,8
16,5
17,1
18,8
19,9
20,8
21,8
22,8
23,9
24,7
25,7
26,9
27,5
28,0
29,3
30,7
31,6
32,1
33,4
34,9
35,9
36,7
37,7
38,7
39,4
40,3
41,1
42,1
43,4
44,4
45,0
46,3
47,4
48,5
49,9
50,2
51,5
52,8
53,6
54,1
55,0
56,8
57,8
58,7
59,7
60,7
61,3
62,6
63,4
64,6
65,7
66,0
67,5
68,5
69,5
70,1
71,2
72,6
73,8
74,6
75,4
76,2
77,2
78,1
79,8
80,9
81,3
82,1
83,3
84,1
85,2
86,2
87,7
88,7
89,7
90,0
91,7
92,3
93,6
94,9
95,5
96,6
97,8
98,3
99,9
100,9
101,4
102,9
103,8
104,0
105,5
106,8
107,9
108,6
109,5
110,7
111,1
112,8
113,9
114,8
115,9
116,0
117,6
118,1
119,4
120,2
121,9
122,5
123,6
124,9
125,2
126,6
127,6
128,6
129,7
130,6
131,7
132,9
133,6
134,9
135,1
136,6
137,1
138,4
139,6
140,6
141,2
142,0
143,5
144,0
145,2
146,0
147,3
148,7
149,3
150,8
151,2
152,0
153,2
154,1
155,1
156,5
157,3
158,1
159,0
160,9
161,8
162,8
163,6
164,9
165,5
166,9
167,8
168,8
169,0
170,7
171,4
172,6
173,0
174,8
175,8
176,4
177,3
178,0
179,5
180,5
181,3
182,4
183,4
184,5
185,9
186,9
187,9
188,9
189,3
190,7
191,0
192,5
193,6
194,5
195,4
196,8
197,7
198,9
199,5
200,3
201,5
202,1
203,5
204,0
205,1
206,6
207,5
208,6
209,5
210,7
211,0
212,8
213,5
214,3
215,0
216,4
217,3
218,3
219,6
220,1
221,7
222,6
223,4
224,1
225,5
226,2
227,8
228,5
229,4
230,9
231,1
232,6
233,9
234,1
235,9
236,2
237,2
238,4
239,4
240,6
241,1
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,4
250,7
251,7
252,0
253,8
254,0
255,2
256,4
257,5
258,3
259,5
260,5
261,1
262,6
263,4
264,0
265,8
266,5
267,5
268,7
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,1
278,1
279,4
280,3
281,9
282,7
283,8
284,1
285,7
286,6
287,6
288,4
289,7
290,8
291,7
292,3
293,1
294,6
295,8
296,7
297,7
298,1
299,0
300,1
301,9
302,7
303,1
304,8
305,4
306,4
307,3
308,0
309,8
310,7
311,7
312,7
313,3
314,7
315,2
316,3
317,8
318,5
319,8
320,1
321,2
322,0
323,9
324,6
325,2
326,5
327,7
328,6
329,7
330,3
331,3
332,6
333,7
334,4
335,7
336,0
337,3
338,1
339,0
340,6
341,0
342,8
343,7
344,6
345,9
346,2
347,5
348,4
349,9
350,3
351,9
352,2
353,9
354,0
355,0
356,9
357,3
358,5
359,0
360,0
361,6
362,3
363,8
364,0
365,3
366,1
367,1
368,6
369,2
370,2
371,6
372,5
373,3
374,1
375,1
376,3
377,9
378,9
379,4
380,8
381,2
382,1
383,8
384,8
385,6
386,6
387,9
388,0
389,5
390,2
391,3
392,0
393,2
394,6
395,0
396,9
397,5
398,5
399,7
400,1
401,2
402,4
403,5
404,1
405,4
406,8
407,5
408,8
409,6
410,6
411,8
412,0
413,3
414,3
415,3
416,8
417,9
418,6
419,9
420,8
421,5
422,6
423,9
424,6
425,8
426,5
427,5
428,8
429,5
430,3
431,3
432,3
433,3
434,8
435,5
436,0
437,5
438,8
439,7
440,9
441,0
442,1
443,6
444,7
445,9
446,4
447,1
448,5
449,5
450,3
451,1
452,1
453,6
454,6
455,5
456,7
457,5
458,6
459,1
460,0
461,3
462,1
463,5
464,6
465,2
466,0
467,8
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,2
476,9
477,9
478,6
479,3
480,1
481,8
482,0
483,7
484,8
485,3
486,9
487,6
488,6
489,3
490,0
491,9
492,5
493,0
494,4
495,3
496,7
497,6
498,7
499,1
500,2
501,9
502,8
503,7
504,7
505,0
506,6
507,7
508,0
509,3
510,8
511,9
512,8
513,5
514,0
515,8
516,3
517,4
518,3
519,6
520,3
521,3
522,2
523,3
524,9
525,5
526,6
527,6
528,4
529,1
530,7
531,6
532,8
533,6
534,3
535,1
536,5
537,7
538,7
539,4
540,5
541,5
542,6
543,7
544,6
545,9
546,9
547,2
548,1
549,5
550,9
551,4
552,5
553,1
554,9
555,7
556,9
557,9
558,5
559,5
560,9
561,6
562,7
563,2
564,7
565,2
566,9
567,8
568,2
569,0
570,2
571,8
572,1
573,2
574,4
575,6
576,0
577,4
578,9
579,4
580,0
581,7
582,6
583,6
584,4
585,6
586,4
587,6
588,3
589,7
590,6
591,8
592,2
593,4
594,9
595,1
596,1
597,2
598,7
599,5
600,8
601,8
602,0
603,3
604,1
605,0
606,0
607,8
608,2
609,2
610,6
611,0
612,6
613,2
614,0
615,5
616,7
617,6
618,6
619,8
620,5
621,5
622,4
623,5
624,9
625,7
626,7
627,5
628,1
629,5
630,6
631,9
632,0
633,0
634,9
635,8
636,4
637,9
638,0
639,5
640,9
641,9
642,5
643,4
644,5
645,8
646,1
647,6
648,8
649,6
650,4
651,7
652,5
653,5
654,3
655,2
656,9
657,4
658,3
659,6
660,8
661,6
662,6
663,7
664,0
665,9
666,5
667,4
668,2
669,8
670,9
671,8
672,3
673,3
674,3
675,1
676,9
677,2
678,9
679,0
680,3
681,1
682,0
683,5
684,7
685,8
686,7
687,5
688,6
689,4
690,1
691,8
692,3
693,6
694,8
695,8
696,8
697,5
698,7
699,0
700,1
701,5
702,7
703,3
704,5
705,0
706,3
707,8
708,4
709,3
710,6
711,0
712,9
713,2
714,2
715,5
716,3
717,7
718,8
719,0
720,7
721,5
722,5
723,7
724,2
725,6
726,1
727,3
728,8
729,7
730,1
731,4
732,9
733,3
734,0
735,9
736,8
737,4
738,5
739,4
740,0
741,3
742,4
743,5
744,2
745,8
746,2
747,2
748,7
749,9
750,1
751,2
752,6
753,1
754,6
755,8
756,0
757,2
758,8
759,4
760,5
761,0
762,3
763,9
764,3
765,6
766,4
767,5
768,3
769,5
770,1
771,2
772,2
773,9
774,2
775,6
776,0
777,1
778,7
779,1
780,5
781,0
782,7
783,5
784,4
785,1
786,2
787,4
788,9
789,8
790,5
791,1
792,3
793,1
794,5
795,4
796,9
797,6
798,8
799,9
800,0
801,7
802,7
803,3
804,7
805,2
806,2
807,3
808,8
809,2
810,4
811,8
812,2
813,3
814,4
815,9
816,0
817,4
818,9
819,9
820,8
821,1
822,7
823,8
824,9
825,6
826,7
827,6
828,3
829,3
830,2
831,5
832,8
833,4
834,2
835,5
836,9
837,7
838,9
839,5
840,4
841,1
842,3
843,1
844,6
845,8
846,8
847,0
848,9
849,4
850,3
851,6
852,9
853,0
854,0
855,5
856,3
857,1
858,6
859,3
860,9
861,2
862,9
863,8
864,7
865,4
866,8
867,4
868,9
869,5
870,6
871,4
872,2
873,1
874,2
875,3
876,5
877,2
878,7
879,3
880,1
881,6
882,6
883,1
884,0
885,5
886,5
887,5
888,9
889,1
890,1
891,4
892,9
893,0
894,5
895,6
896,3
897,0
898,8
899,8
900,8
901,0
902,1
903,9
904,3
905,5
906,4
907,5
908,4
909,3
910,5
911,4
912,1
913,4
914,7
915,0
916,5
917,2
918,2
919,1
920,7
921,5
922,0
923,8
924,0
925,5
926,7
927,2
928,4
929,4
930,8
931,0
932,2
933,7
934,2
935,5
936,1
937,1
938,7
939,4
940,0
941,6
942,0
943,9
944,4
945,8
946,6
947,6
948,6
949,3
950,3
951,5
952,6
953,9
954,1
955,0
956,0
957,9
958,0
959,6
960,3
961,5
962,9
963,9
964,2
965,0
966,8
967,5
968,2
969,2
970,5
971,5
972,8
973,9
974,9
975,6
976,0
977,7
978,3
979,8
980,6
981,3
982,9
983,5
984,5
985,0
986,7
987,5
988,2
989,8
990,0
991,9
992,9
993,2
994,3
995,2
996,9
997,7
998,9
999,9
1000,5
1001,6
1002,6
1003,4
1004,0
1005,8
1006,6
1007,5
1008,9
1009,5
1010,4
1011,8
1012,7
1013,7
1014,4
1015,7
1016,2
1017,0
1018,4
1019,2
1020,0
1021,9
1022,2
1023,2
1024,6
1025,5
1026,9
1027,9
1028,3
1029,6
1030,0
1031,0
1032,9
1033,5
1034,3
1035,6
1036,0
1037,1
1038,6
1039,8
1040,2
1041,4
1042,3
1043,3
1044,5
1045,7
1046,7
1047,0
1048,5
1049,3
1050,6
1051,2
1052,7
1053,9
1054,5
1055,9
1056,9
1057,3
1058,4
1059,9
1060,6
1061,7
1062,3
1063,8
1064,3
1065,1
1066,4
1067,1
1068,5
1069,2
1070,4
1071,4
1072,9
1073,1
1074,5
1075,5
1076,1
1077,5
1078,8
1079,9
1080,1
1081,6
1082,4
1083,1
1084,1
1085,9
1086,5
1087,5
1088,9
1089,1
1090,6
1091,8
1092,9
1093,4
1094,5
1095,0
1096,2
1097,6
1098,8
1099,8
1100,8
1101,7
1102,3
1103,5
1104,5
1105,7
1106,2
1107,9
1108,1
1109,3
1110,5
1111,8
1112,4
1113,8
1114,0
1115,5
1116,7
1117,8
1118,8
1119,5
1120,8
1121,6
1122,6
1123,9
1124,6
1125,2
1126,1
1127,8
1128,3
1129,8
1130,6
1131,3
1132,9
1133,4
1134,4
1135,3
1136,4
1137,4
1138,9
1139,2
1140,2
1141,5
1142,7
1143,3
1144,8
1145,5
1146,3
1147,6
1148,0
1149,6
1150,6
1151,6
1152,2
1153,1
1154,7
1155,7
1156,9
1157,4
1158,1
1159,7
1160,4
1161,9
1162,4
1163,3
1164,7
1165,5
1166,8
1167,9
1168,7
1169,8
1170,1
1171,1
1172,0
1173,4
1174,9
1175,3
1176,3
1177,8
1178,9
1179,9
1180,1
1181,8
1182,0
1183,8
1184,9
1185,4
1186,9
1187,1
1188,2
1189,9
1190,2
1191,1
1192,1
1193,7
1194,9
1195,8
1196,3
1197,5
1198,9
1199,1
1200,5
1201,3
1202,2
1203,3
1204,1
1205,2
1206,3
1207,4
1208,7
1209,7
1210,0
1211,1
1212,6
1213,6
1214,7
1215,4
1216,8
1217,1
1218,9
1219,6
1220,9
1221,5
1222,7
1223,2
1224,8
1225,0
1226,3
1227,5
1228,4
1229,0
1230,0
1231,2
1232,0
1233,5
1234,5
1235,5
1236,3
1237,9
1238,4
1239,8
1240,1
1241,2
1242,3
1243,1
1244,7
1245,9
1246,1
1247,3
1248,9
1249,3
1250,1
1251,5
1252,5
1253,4
1254,8
1255,9
1256,7
1257,1
1258,5
1259,5
1260,6
1261,2
1262,5
1263,7
1264,3
1265,0
1266,2
1267,9
1268,7
1269,1
1270,8
1271,5
1272,8
1273,0
1274,0
1275,3
1276,8
1277,2
1278,5
1279,2
1280,5
1281,0
1282,8
1283,8
1284,9
1285,3
1286,6
1287,4
1288,3
1289,5
1290,6
1291,0
1292,8
1293,8
1294,4
1295,5
1296,7
1297,0
1298,7
1299,9
1300,2
1301,4
1302,3
1303,7
1304,7
1305,4
1306,5
1307,5
1308,7
1309,2
1310,8
1311,7
1312,4
1313,8
1314,8
1315,3
1316,0
1317,7
1318,5
1319,9
1320,3
1321,6
1322,3
1323,7
1324,8
1325,9
1326,2
1327,7
1328,9
1329,8
1330,9
1331,3
1332,4
1333,4
1334,4
1335,5
1336,0
1337,0
1338,1
1339,7
1340,6
1341,0
1342,5
1343,7
1344,2
1345,7
1346,8
1347,5
1348,0
1349,3
1350,6
1351,0
1352,0
1353,8
1354,8
1355,4
1356,5
1357,5
1358,7
1359,6
1360,6
1361,7
1362,2
1363,7
1364,0
1365,5
1366,4
1367,8
1368,8
1369,2
1370,0
1371,3
1372,9
1373,3
1374,1
1375,7
1376,1
1377,6
1378,3
1379,2
1380,7
1381,5
1382,3
1383,1
1384,3
1385,7
1386,8
1387,6
1388,2
1389,1
1390,5
1391,8
1392,5
1393,5
1394,5
1395,2
1396,8
1397,8
1398,1
1399,1
1400,8
1401,9
1402,7
1403,2
1404,2
1405,5
1406,7
1407,9
1408,9
1409,4
1410,8
1411,9
1412,1
1413,8
1414,1
1415,9
1416,6
1417,3
1418,9
1419,7
1420,9
1421,5
1422,1
1423,8
1424,3
1425,4
1426,0
1427,4
1428,8
1429,9
1430,3
1431,5
1432,8
1433,9
1434,0
1435,5
1436,4
1437,8
1438,5
1439,7
1440,8
1441,5
1442,3
1443,6
1444,5
1445,3
1446,9
1447,9
1448,7
1449,5
1450,8
1451,0
1452,8
1453,3
1454,2
1455,2
1456,5
1457,4
1458,3
1459,8
1460,5
1461,1
1462,8
1463,3
1464,0
1465,4
1466,6
1467,2
1468,8
1469,3
1470,5
1471,2
1472,2
1473,5
1474,5
1475,3
1476,5
1477,3
1478,9
1479,2
1480,8
1481,5
1482,5
1483,7
1484,3
1485,5
1486,9
1487,5
1488,6
1489,1
1490,0
1491,9
1492,6
1493,2
1494,9
1495,1
1496,0
1497,4
1498,2
1499,3
1500,9
1501,6
1502,2
1503,6
1504,2
1505,5
1506,7
1507,5
1508,7
1509,0
1510,3
1511,1
1512,9
1513,6
1514,7
1515,2
1516,4
1517,1
1518,9
1519,9
1520,5
1521,4
1522,4
1523,4
1524,9
1525,1
1526,0
1527,8
1528,2
1529,8
1530,0
1531,8
1532,0
1533,6
1534,5
1535,6
1536,1
1537,4
1538,5
1539,6
1540,5
1541,3
1542,4
1543,5
1544,2
1545,1
1546,3
1547,8
1548,9
1549,1
1550,5
1551,5
1552,6
1553,4
1554,2
1555,8
1556,7
1557,1
1558,6
1559,8
1560,9
1561,6
1562,5
1563,2
1564,4
1565,0
1566,5
1567,0
1568,3
1569,6
1570,3
1571,0
1572,8
1573,3
1574,9
1575,4
1576,3
1577,3
1578,8
1579,0
1580,8
1581,3
1582,5
1583,0
1584,4
1585,9
1586,1
1587,6
1588,3
1589,5
1590,1
1591,6
1592,8
1593,4
1594,8
1595,3
1596,7
1597,0
1598,9
1599,6
1600,7
1601,4
1602,9
1603,5
1604,8
1605,5
1606,0
1607,5
1608,8
1609,3
1610,5
1611,8
1612,0
1613,9
1614,9
1615,4
1616,4
1617,7
1618,1
1619,6
1620,9
1621,9
1622,9
1623,4
1624,2
1625,6
1626,3
1627,3
1628,9
1629,1
1630,3
1631,7
1632,3
1633,5
1634,8
1635,8
1636,5
1637,1
1638,6
1639,0
1640,4
1641,5
1642,8
1643,5
1644,9
1645,5
1646,4
1647,4
1648,1
1649,8
1650,3
1651,9
1652,3
1653,2
1654,0
1655,2
1656,2
1657,9
1658,8
1659,7
1660,7
1661,6
1662,7
1663,6
1664,6
1665,8
1666,5
1667,6
1668,9
1669,8
1670,5
1671,5
1672,2
1673,5
1674,9
1675,9
1676,6
1677,3
1678,5
1679,5
1680,9
1681,5
1682,9
1683,4
1684,0
1685,5
1686,0
1687,6
1688,2
1689,9
1690,2
1691,1
1692,9
1693,7
1694,7
1695,7
1696,8
1697,4
1698,8
1699,0
1700,5
1701,0
1702,0
1703,9
1704,8
1705,0
1706,2
1707,9
1708,5
1709,7
1710,5
1711,1
1712,8
1713,7
1714,5
1715,1
1716,3
1717,0
1718,3
1719,0
1720,9
1721,5
1722,9
1723,5
1724,1
1725,1
1726,0
1727,7
1728,7
1729,5
1730,6
1731,8
1732,6
1733,1
1734,6
1735,6
1736,4
1737,0
1738,8
1739,4
1740,8
1741,3
1742,8
1743,8
1744,8
1745,2
1746,1
1747,7
1748,2
1749,8
1750,5
1751,2
1752,6
1753,5
1754,9
1755,0
1756,0
1757,1
1758,9
1759,6
1760,1
1761,0
1762,9
1763,3
1764,2
1765,4
1766,5
1767,2
1768,5
1769,7
1770,7
1771,7
1772,4
1773,8
1774,3
1775,3
1776,4
1777,6
1778,8
1779,9
1780,2
1781,6
1782,1
1783,5
1784,0
1785,9
1786,2
1787,6
1788,0
1789,1
1790,8
1791,9
1792,8
1793,4
1794,9
1795,8
1796,1
1797,7
1798,9
1799,1
1800,8
1801,6
1802,9
1803,3
1804,8
1805,8
1806,3
1807,6
1808,6
1809,5
1810,5
1811,1
1812,3
1813,2
1814,3
1815,5
1816,6
1817,5
1818,3
1819,4
1820,1
1821,3
1822,8
1823,0
1824,0
1825,8
1826,4
1827,2
1828,4
1829,3
1830,8
1831,0
1832,0
1833,4
1834,8
1835,5
1836,5
1837,5
1838,5
1839,6
1840,4
1841,5
1842,6
1843,3
1844,0
1845,6
1846,8
1847,3
1848,1
1849,8
1850,5
1851,7
1852,1
1853,7
1854,1
1855,8
1856,6
1857,3
1858,4
1859,5
1860,0
1861,1
1862,5
1863,8
1864,1
1865,7
1866,7
1867,6
1868,5
1869,5
1870,4
1871,0
1872,4
1873,9
1874,9
1875,8
1876,0
1877,0
1878,6
1879,7
1880,7
1881,6
1882,6
1883,1
1884,1
1885,8
1886,5
1887,5
1888,4
1889,1
1890,0
1891,9
1892,8
1893,3
1894,9
1895,2
1896,1
1897,6
1898,1
1899,6
1900,3
1901,4
1902,2
1903,8
1904,1
1905,3
1906,1
1907,8
1908,5
1909,8
1910,9
1911,0
1912,5
1913,7
1914,2
1915,3
1916,8
1917,9
1918,6
1919,2
1920,0
1921,5
1922,6
1923,7
1924,9
1925,7
1926,2
1927,6
1928,1
1929,0
1930,7
1931,2
1932,8
1933,6
1934,1
1935,5
1936,3
1937,3
1938,8
1939,3
1940,6
1941,9
1942,8
1943,2
1944,5
1945,5
1946,7
1947,0
1948,9
1949,6
1950,7
1951,0
1952,1
1953,9
1954,6
1955,2
1956,1
1957,4
1958,0
1959,9
1960,7
1961,4
1962,1
1963,9
1964,9
1965,3
1966,0
1967,0
1968,6
1969,5
1970,9
1971,9
1972,4
1973,9
1974,2
1975,4
1976,8
1977,3
1978,9
1979,9
1980,9
1981,3
1982,0
1983,0
1984,6
1985,2
1986,5
1987,9
1988,1
1989,6
1990,9
1991,6
1992,4
1993,7
1994,3
1995,7
1996,3
1997,3
1998,2
1999,2
2000,2
2001,6
2002,8
2003,9
2004,8
2005,2
2006,5
2007,0
2008,3
2009,4
2010,6
2011,1
2012,1
2013,4
2014,3
2015,4
2016,1
2017,9
2018,6
2019,4
2020,7
2021,2
2022,4
2023,8
2024,1
2025,0
2026,4
2027,8
2028,3
2029,6
2030,5
2031,4
2032,0
2033,0
2034,7
2035,5
2036,0
2037,3
2038,6
2039,5
2040,9
2041,8
2042,2
2043,3
2044,5
2045,5
2046,9
2047,0
2048,5
2049,8
2050,0
2051,6
2052,5
2053,9
2054,8
2055,5
2056,5
2057,8
2058,5
2059,1
2060,2
2061,1
2062,0
2063,9
2064,4
2065,8
2066,5
2067,4
2068,8
2069,7
2070,2
2071,2
2072,5
2073,7
2074,6
2075,0
2076,9
2077,7
2078,4
2079,7
2080,7
2081,9
2082,6
2083,7
2084,0
2085,9
2086,5
2087,3
2088,0
2089,5
2090,3
2091,3
2092,1
2093,9
2094,0
2095,0
2096,8
2097,1
2098,5
2099,7
2100,0
2101,7
2102,6
2103,0
2104,6
2105,6
2106,6
2107,4
2108,3
2109,0
2110,5
2111,9
2112,9
2113,7
2114,1
2115,5
2116,8
2117,9
2118,8
2119,9
2120,8
2121,0
2122,1
2123,6
2124,5
2125,3
2126,5
2127,9
2128,9
2129,4
2130,8
2131,7
2132,6
2133,7
2134,8
2135,7
2136,0
2137,2
2138,3
2139,4
2140,4
2141,1
2142,7
2143,3
2144,4
2145,3
2146,5
