ID,class
0,6
1,8
2,0
3,6
4,6
5,1
6,3
7,4
8,4
9,0
10,7
11,2
12,1
13,3
14,1
15,8
16,5
17,1
18,8
19,7
20,2
21,0
22,3
23,1
24,2
25,7
26,5
27,1
28,0
29,4
30,5
31,5
32,8
33,4
34,1
35,1
36,7
37,7
38,7
39,4
40,5
41,1
42,1
43,4
44,2
45,3
46,6
47,4
48,5
49,1
50,6
51,6
52,3
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,6
61,6
62,2
63,4
64,3
65,1
66,0
67,5
68,4
69,6
70,1
71,2
72,6
73,8
74,6
75,4
76,2
77,6
78,1
79,8
80,5
81,5
82,1
83,3
84,1
85,3
86,2
87,7
88,7
89,7
90,8
91,7
92,1
93,3
94,1
95,5
96,6
97,3
98,4
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,0
107,8
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,1
116,1
117,4
118,1
119,3
120,2
121,1
122,8
123,6
124,1
125,6
126,3
127,6
128,6
129,7
130,6
131,1
132,0
133,3
134,8
135,1
136,3
137,3
138,7
139,7
140,6
141,6
142,0
143,6
144,8
145,2
146,0
147,6
148,4
149,6
150,5
151,4
152,7
153,6
154,1
155,1
156,5
157,2
158,1
159,8
160,1
161,8
162,0
163,6
164,1
165,2
166,2
167,1
168,8
169,0
170,4
171,4
172,3
173,0
174,1
175,8
176,4
177,6
178,1
179,5
180,5
181,3
182,6
183,2
184,2
185,1
186,3
187,1
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,0
197,7
198,1
199,3
200,3
201,5
202,0
203,4
204,0
205,1
206,5
207,5
208,6
209,8
210,3
211,8
212,1
213,5
214,5
215,1
216,2
217,6
218,3
219,5
220,8
221,7
222,6
223,6
224,1
225,4
226,7
227,3
228,5
229,3
230,8
231,1
232,6
233,3
234,1
235,6
236,6
237,2
238,4
239,6
240,6
241,0
242,4
243,5
244,1
245,5
246,6
247,4
248,1
249,0
250,0
251,6
252,0
253,8
254,2
255,6
256,4
257,4
258,3
259,3
260,3
261,0
262,6
263,5
264,3
265,8
266,5
267,3
268,6
269,8
270,1
271,1
272,2
273,7
274,0
275,5
276,0
277,1
278,0
279,4
280,4
281,0
282,3
283,0
284,1
285,6
286,6
287,6
288,3
289,4
290,8
291,5
292,7
293,8
294,5
295,8
296,7
297,4
298,3
299,1
300,1
301,3
302,7
303,1
304,8
305,4
306,0
307,6
308,0
309,5
310,8
311,7
312,0
313,3
314,5
315,2
316,5
317,3
318,3
319,8
320,1
321,6
322,5
323,8
324,6
325,3
326,5
327,7
328,4
329,4
330,1
331,3
332,6
333,7
334,6
335,3
336,0
337,5
338,1
339,0
340,7
341,3
342,8
343,7
344,5
345,8
346,5
347,3
348,4
349,1
350,5
351,1
352,8
353,0
354,1
355,0
356,1
357,3
358,4
359,6
360,0
361,4
362,3
363,0
364,8
365,3
366,1
367,1
368,5
369,3
370,4
371,5
372,6
373,4
374,1
375,1
376,3
377,1
378,1
379,3
380,2
381,3
382,1
383,0
384,0
385,5
386,1
387,1
388,6
389,5
390,6
391,3
392,0
393,0
394,2
395,7
396,1
397,5
398,4
399,7
400,7
401,4
402,6
403,3
404,0
405,4
406,8
407,4
408,8
409,6
410,3
411,8
412,8
413,1
414,6
415,7
416,8
417,6
418,8
419,8
420,8
421,3
422,5
423,1
424,6
425,8
426,7
427,3
428,8
429,4
430,2
431,6
432,6
433,4
434,8
435,6
436,0
437,3
438,8
439,7
440,7
441,7
442,1
443,3
444,4
445,1
446,2
447,0
448,5
449,6
450,2
451,1
452,0
453,6
454,6
455,3
456,5
457,3
458,3
459,0
460,7
461,7
462,1
463,6
464,5
465,2
466,0
467,4
468,8
469,8
470,1
471,0
472,8
473,3
474,4
475,6
476,4
477,1
478,6
479,6
480,1
481,0
482,7
483,7
484,8
485,5
486,1
487,4
488,6
489,3
490,0
491,1
492,3
493,0
494,8
495,6
496,4
497,6
498,7
499,1
500,2
501,6
502,1
503,2
504,3
505,3
506,3
507,3
508,6
509,2
510,8
511,5
512,8
513,3
514,0
515,0
516,5
517,6
518,3
519,4
520,5
521,2
522,6
523,7
524,4
525,5
526,6
527,6
528,4
529,3
530,4
531,3
532,8
533,4
534,5
535,1
536,6
537,7
538,7
539,4
540,5
541,5
542,6
543,7
544,6
