ID,class
0,6
1,1
2,0
3,3
4,6
5,0
6,7
7,0
8,4
9,8
10,4
11,5
12,1
13,7
14,9
15,8
16,5
17,1
18,8
19,9
20,5
21,8
22,1
23,8
24,0
25,7
26,5
27,5
28,7
29,4
30,7
31,6
32,1
33,4
34,9
35,1
36,7
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,2
45,3
46,6
47,4
48,5
49,9
50,2
51,6
52,8
53,6
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,4
64,6
65,9
66,0
67,5
68,5
69,2
70,1
71,2
72,5
73,9
74,6
75,6
76,2
77,8
78,3
79,4
80,2
81,5
82,1
83,3
84,1
85,2
86,5
87,7
88,7
89,7
90,0
91,7
92,3
93,0
94,2
95,5
96,2
97,8
98,5
99,1
100,6
101,0
102,9
103,2
104,0
105,5
106,8
107,9
108,7
109,2
110,7
111,1
112,8
113,6
114,8
115,9
116,0
117,4
118,1
119,4
120,0
121,1
122,8
123,6
124,1
125,2
126,3
127,6
128,6
129,7
130,2
131,7
132,0
133,4
134,8
135,8
136,5
137,9
138,7
139,6
140,4
141,5
142,7
143,6
144,0
145,2
146,8
147,6
148,5
149,6
150,5
151,4
152,9
153,2
154,1
155,1
156,4
157,2
158,1
159,8
160,9
161,8
162,8
163,4
164,9
165,7
166,2
167,1
168,8
169,0
170,2
171,6
172,6
173,0
174,8
175,8
176,4
177,3
178,0
179,5
180,5
181,7
182,3
183,4
184,2
185,9
186,9
187,9
188,9
189,3
190,5
191,0
192,3
193,2
194,5
195,2
196,8
197,7
198,0
199,5
200,4
201,2
202,9
203,5
204,0
205,1
206,3
207,3
208,6
209,5
210,7
211,8
212,8
213,5
214,5
215,8
216,3
217,3
218,4
219,5
220,0
221,7
222,6
223,6
224,1
225,4
226,4
227,4
228,3
229,4
230,9
231,1
232,3
233,6
234,1
235,9
236,6
237,2
238,2
239,4
240,6
241,4
242,4
243,7
244,7
245,7
246,6
247,2
248,1
249,4
250,5
251,4
252,0
253,8
254,8
255,6
256,4
257,5
258,5
259,8
260,2
261,0
262,6
263,3
264,0
265,8
266,5
267,3
268,7
269,8
270,1
271,9
272,5
273,7
274,0
275,5
276,0
277,1
278,1
279,4
280,5
281,9
282,4
283,8
284,1
285,7
286,5
287,3
288,2
289,7
290,0
291,7
292,7
293,8
294,5
295,3
296,7
297,0
298,1
299,2
300,1
301,2
302,7
303,9
304,0
305,7
306,0
307,4
308,0
309,5
310,3
311,7
312,0
313,3
314,7
315,2
316,1
317,3
318,3
319,8
320,1
321,6
322,0
323,1
324,6
325,4
326,5
327,7
328,2
329,7
330,0
331,3
332,5
333,7
334,2
335,2
336,2
337,5
338,1
339,0
340,5
341,8
342,8
343,7
344,3
345,8
346,5
347,8
348,2
349,9
350,3
351,1
352,2
353,9
354,0
355,0
356,5
357,3
358,7
359,2
360,0
361,4
362,4
363,4
364,0
365,3
366,1
367,1
368,4
369,3
370,4
371,3
372,6
373,3
374,1
375,1
376,3
377,9
378,1
379,4
380,8
381,2
382,9
383,8
384,8
385,3
386,6
387,1
388,0
389,4
390,6
391,3
392,8
393,0
394,5
395,7
396,9
397,5
398,7
399,7
400,1
401,4
402,4
403,3
404,8
405,4
406,9
407,5
408,8
409,0
410,6
411,8
412,0
413,1
414,6
415,7
416,0
417,7
418,5
419,9
420,8
421,3
422,6
423,9
424,6
425,8
426,5
427,6
428,8
429,5
430,8
431,6
432,5
433,7
434,8
435,5
436,0
437,3
438,8
439,7
440,3
441,0
442,1
443,5
444,7
445,1
446,4
447,0
448,5
449,3
450,6
451,9
452,9
453,2
454,9
455,3
456,2
457,3
458,6
459,8
460,1
461,0
462,1
463,5
464,6
465,2
466,0
467,7
468,8
469,0
470,9
471,0
472,8
473,2
474,4
475,4
476,0
477,9
478,6
479,6
480,1
481,0
482,3
483,7
484,8
485,5
486,1
487,6
488,6
489,2
490,0
491,1
492,2
493,0
494,2
495,5
496,2
497,3
498,7
499,1
500,2
501,9
502,8
503,6
504,3
505,2
506,6
507,4
508,2
509,2
510,8
511,3
512,8
513,5
514,0
515,8
516,5
517,5
518,7
519,7
520,7
521,3
522,2
523,7
524,3
525,3
526,6
527,5
528,4
529,0
530,7
531,5
532,8
533,4
534,3
535,3
536,5
537,2
538,7
539,4
540,2
541,3
542,6
543,7
544,3
545,7
546,1
547,2
548,1
549,5
550,8
551,1
552,3
553,1
554,9
555,7
556,6
557,7
558,6
559,5
560,1
561,6
562,7
563,6
564,4
565,1
566,9
567,8
568,0
569,8
570,3
571,1
572,0
573,5
574,0
575,6
576,0
577,4
578,9
579,4
580,0
581,7
582,3
583,6
584,2
585,7
586,4
587,6
588,7
589,7
590,4
591,8
592,6
593,3
594,4
595,1
596,2
597,2
598,4
599,5
600,4
601,0
602,7
603,5
604,1
605,0
606,2
607,8
608,5
609,2
610,6
611,8
612,5
613,6
614,3
615,5
616,3
617,6
618,6
619,0
620,1
621,4
622,8
623,5
624,7
625,7
626,3
627,3
628,1
629,5
630,6
631,9
632,9
633,0
634,9
635,8
636,4
637,9
638,9
639,8
640,8
641,1
642,5
643,4
644,5
645,8
646,4
647,2
648,0
649,6
650,4
651,7
652,5
653,8
654,5
655,2
656,8
657,5
658,6
659,7
660,8
661,2
662,6
663,7
664,2
665,5
666,5
667,2
668,6
669,8
670,8
671,8
672,5
673,3
674,4
675,0
676,1
677,6
678,9
679,5
680,3
681,0
682,7
683,5
684,8
685,0
686,2
687,5
688,7
689,4
690,1
691,8
692,9
693,6
694,8
695,8
696,0
697,5
698,7
699,0
700,0
701,5
702,7
703,7
704,5
705,2
706,5
707,8
708,4
709,8
710,3
711,8
712,9
713,2
714,2
715,7
716,3
717,7
718,8
719,0
720,4
721,5
722,1
723,2
724,0
725,5
726,8
727,3
728,9
729,5
730,6
731,4
732,8
733,1
734,9
735,6
736,5
737,4
738,4
739,6
740,8
741,4
742,4
743,3
744,4
745,2
746,2
747,6
748,7
749,6
750,1
751,2
752,6
753,7
754,1
755,8
756,8
757,2
758,8
759,4
760,3
761,0
762,2
763,0
764,3
765,6
766,5
767,5
768,4
769,5
770,3
771,2
772,5
773,7
774,6
775,6
776,0
777,1
778,3
779,1
780,7
781,8
782,7
783,3
784,4
785,9
786,2
787,6
788,1
789,9
790,2
791,2
792,2
793,2
794,8
795,7
796,9
797,3
798,8
799,9
800,6
801,7
802,3
803,9
804,7
805,4
806,7
807,7
808,0
809,2
810,5
811,8
812,4
813,4
814,6
815,9
816,0
817,4
818,2
819,9
820,8
821,1
822,9
823,8
824,9
825,2
826,4
827,6
828,9
829,7
830,0
831,2
832,4
833,4
834,6
835,5
836,0
837,2
838,9
839,5
840,2
841,1
842,3
843,1
844,6
845,4
846,8
847,0
848,9
849,0
850,7
851,4
852,9
853,2
854,0
855,4
856,3
857,5
858,6
859,3
860,9
861,2
862,8
863,8
864,7
865,4
866,1
867,4
868,9
869,3
870,6
871,4
872,2
873,1
874,2
875,5
876,5
877,0
878,2
879,3
880,8
881,6
882,6
883,9
884,0
885,8
886,5
887,6
888,9
889,3
890,1
891,4
892,0
893,0
894,5
895,6
896,5
897,0
898,9
899,8
900,8
901,0
902,1
903,9
904,5
905,5
906,4
907,5
908,4
909,5
910,5
911,4
912,9
913,2
914,1
915,3
916,5
917,2
918,2
919,1
920,7
921,2
922,0
923,3
924,0
925,3
926,7
927,6
928,2
929,2
930,0
931,0
932,2
933,3
934,0
935,4
936,1
937,9
938,7
939,4
940,0
941,0
942,8
943,8
944,4
945,8
946,6
947,1
948,9
949,5
950,6
951,3
952,6
953,9
954,4
955,0
956,5
957,6
958,8
959,2
960,5
961,5
962,9
963,0
964,1
965,0
966,1
967,5
968,2
969,5
970,2
971,5
972,8
973,7
974,9
975,7
976,0
977,7
978,0
979,9
980,6
981,5
982,9
983,5
984,7
985,1
986,5
987,5
988,4
989,5
990,0
991,9
992,1
993,2
994,3
995,2
996,9
997,7
998,1
999,9
1000,5
1001,6
1002,5
1003,4
1004,0
1005,3
1006,6
1007,3
1008,0
1009,5
1010,4
1011,9
1012,7
1013,7
1014,0
1015,0
1016,4
1017,2
1018,6
1019,2
1020,0
1021,9
1022,2
1023,2
1024,3
1025,5
1026,2
1027,7
1028,0
1029,2
1030,4
1031,0
1032,9
1033,2
1034,8
1035,6
1036,8
1037,1
1038,6
1039,8
1040,2
1041,6
1042,2
1043,9
1044,4
1045,0
1046,6
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,1
1054,3
1055,9
1056,9
1057,2
1058,2
1059,8
1060,5
1061,4
1062,6
1063,0
1064,3
1065,0
1066,0
1067,1
1068,6
1069,3
1070,4
1071,4
1072,6
1073,1
1074,5
1075,5
1076,1
1077,5
1078,8
1079,9
1080,1
1081,4
1082,4
1083,1
1084,1
1085,9
1086,5
1087,9
1088,7
1089,1
1090,4
1091,5
1092,7
1093,4
1094,5
1095,8
1096,4
1097,3
1098,8
1099,8
1100,8
1101,7
1102,5
1103,5
1104,5
1105,4
1106,2
1107,9
1108,0
1109,2
1110,4
1111,0
1112,4
1113,8
1114,0
1115,4
1116,7
1117,8
1118,5
1119,5
1120,8
1121,5
1122,6
1123,6
1124,3
1125,0
1126,1
1127,8
1128,3
1129,1
1130,6
1131,3
1132,7
1133,2
1134,4
1135,8
1136,2
1137,6
1138,8
1139,4
1140,2
1141,5
1142,7
1143,6
1144,8
1145,5
1146,6
1147,6
1148,0
1149,7
1150,6
1151,4
1152,2
1153,1
1154,7
1155,7
1156,9
1157,2
1158,3
1159,3
1160,3
1161,9
1162,4
1163,3
1164,7
1165,3
1166,0
1167,0
1168,0
1169,8
1170,1
1171,1
1172,0
1173,3
1174,1
1175,3
1176,2
1177,1
1178,2
1179,1
1180,1
1181,8
1182,8
1183,0
1184,9
1185,4
1186,8
1187,9
1188,0
1189,9
1190,6
1191,2
1192,1
1193,2
1194,1
1195,8
1196,9
1197,5
1198,9
1199,1
1200,3
1201,6
1202,5
1203,3
