ID,class
0,1
1,1
2,0
3,1
4,6
5,1
6,3
7,1
8,0
9,0
10,7
11,6
12,1
13,3
14,1
15,1
16,6
17,1
18,8
19,1
20,1
21,1
22,8
23,1
24,2
25,7
26,6
27,1
28,0
29,6
30,7
31,7
32,0
33,4
34,1
35,1
36,6
37,6
38,6
39,6
40,3
41,1
42,1
43,6
44,4
45,8
46,5
47,6
48,3
49,1
50,6
51,6
52,8
53,3
54,1
55,0
56,8
57,8
58,7
59,6
60,6
61,6
62,3
63,6
64,6
65,1
66,0
67,1
68,1
69,6
70,1
71,7
72,6
73,1
74,6
75,6
76,4
77,7
78,1
79,3
80,6
81,6
82,1
83,3
84,1
85,8
86,6
87,7
88,6
89,6
90,0
91,7
92,1
93,1
94,1
95,6
96,6
97,0
98,6
99,1
100,6
101,0
102,1
103,8
104,0
105,6
106,8
107,1
108,6
109,6
110,7
111,1
112,0
113,1
114,8
115,1
116,6
117,6
118,1
119,6
120,0
121,1
122,8
123,6
124,1
125,6
126,6
127,6
128,6
129,6
130,4
131,6
132,7
133,6
134,1
135,9
136,3
137,1
138,3
139,1
140,6
141,6
142,6
143,6
144,0
145,6
146,0
147,6
148,1
149,6
150,3
151,4
152,1
153,2
154,1
155,1
156,3
157,6
158,1
159,0
160,1
161,8
162,8
163,6
164,1
165,6
166,7
167,8
168,1
169,0
170,6
171,6
172,6
173,0
174,1
175,8
176,0
177,1
178,0
179,2
180,6
181,1
182,6
183,6
184,6
185,1
186,1
187,1
188,1
189,3
190,3
191,0
192,0
193,6
194,5
195,6
196,1
197,6
198,1
199,6
200,3
201,6
202,9
203,6
204,0
205,1
206,3
207,0
208,6
209,0
210,6
211,0
212,1
213,3
214,6
215,1
216,6
217,3
218,1
219,6
220,1
221,6
222,6
223,6
224,8
225,6
226,6
227,2
228,6
229,6
230,9
231,1
232,3
233,6
234,1
235,6
236,6
237,4
238,6
239,6
240,3
241,8
242,6
243,6
244,1
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,0
253,8
254,8
255,6
256,6
257,0
258,1
259,8
260,6
261,1
262,6
263,3
264,0
265,8
266,1
267,6
268,6
269,8
270,1
271,1
272,3
273,6
274,0
275,5
276,7
277,1
278,1
279,6
280,1
281,9
282,3
283,0
284,1
285,6
286,6
287,3
288,7
289,6
290,0
291,6
292,3
293,7
294,6
295,8
296,4
297,6
298,1
299,0
300,1
301,0
302,6
303,1
304,0
305,6
306,8
307,6
308,8
309,8
310,3
311,7
312,0
313,6
314,6
315,6
316,3
317,3
318,6
319,0
320,8
321,6
322,0
323,8
324,6
325,3
326,5
327,6
328,6
329,6
330,1
331,6
332,1
333,6
334,4
335,6
336,0
337,6
338,1
339,0
340,7
341,1
342,8
343,7
344,6
345,1
346,6
347,3
348,6
349,1
350,6
351,1
352,0
353,1
354,1
355,0
356,1
357,3
358,7
359,7
360,8
361,6
362,6
363,0
364,2
365,3
366,1
367,1
368,7
369,6
370,6
371,1
372,6
373,6
374,1
375,1
376,3
377,1
378,1
379,6
380,0
381,3
382,1
383,8
384,8
385,1
386,6
387,1
388,7
389,6
390,6
391,6
392,1
393,0
394,0
395,6
396,3
397,6
398,6
399,6
400,8
401,6
402,6
403,6
404,0
405,6
406,1
407,6
408,8
409,6
410,6
411,8
412,0
413,1
414,6
415,3
416,0
417,1
418,1
419,1
420,0
421,3
422,6
423,1
424,6
425,8
426,6
427,6
428,8
429,1
430,2
431,3
432,3
433,6
434,1
435,6
436,0
437,3
438,1
439,6
440,3
441,1
442,1
443,2
444,3
445,9
446,6
447,0
448,6
449,6
450,3
451,1
452,1
453,6
454,6
455,6
456,6
457,6
458,6
459,8
460,8
461,0
462,1
463,6
464,6
465,1
466,0
467,6
468,8
469,0
470,1
471,0
472,0
473,1
474,6
475,6
476,6
477,1
478,6
479,6
480,1
481,8
482,0
483,6
484,1
485,6
486,1
487,6
488,6
489,6
490,0
491,1
492,5
493,0
494,1
495,1
496,7
497,3
498,1
499,1
500,4
501,1
502,8
503,6
504,1
505,2
506,6
507,6
508,0
509,6
510,8
511,1
512,8
513,6
514,0
515,8
516,6
517,6
518,6
519,6
520,5
521,1
522,4
523,6
524,1
525,1
526,6
527,6
528,0
529,6
530,3
531,6
532,0
533,6
534,3
535,1
536,6
537,6
538,6
539,6
540,0
541,6
542,6
543,3
544,6
545,1
546,1
547,2
548,1
549,6
550,1
551,3
552,6
553,1
554,1
555,7
556,6
557,1
558,6
559,6
560,3
561,6
562,6
563,6
564,6
565,0
566,3
567,0
568,1
569,8
570,3
571,1
572,8
573,2
574,6
575,6
576,0
577,6
578,8
579,4
580,1
581,4
582,6
583,6
584,6
585,6
586,7
587,6
588,6
589,6
590,1
591,0
592,6
593,6
594,0
595,1
596,1
597,6
598,6
599,6
600,2
601,8
602,1
603,6
604,1
605,0
606,0
607,6
608,6
609,3
610,6
611,0
612,6
613,7
614,1
615,6
616,6
617,6
618,1
619,8
620,1
621,6
622,8
623,0
624,1
625,3
626,6
627,6
628,1
629,3
630,6
631,1
632,1
633,0
634,1
635,8
636,6
637,1
638,8
639,3
640,7
641,8
642,6
643,4
644,5
645,1
646,3
647,6
648,8
649,6
650,2
651,3
652,8
653,0
654,1
655,6
656,8
657,4
658,2
659,6
660,0
661,6
662,6
663,6
664,2
665,6
666,3
667,0
668,6
669,8
670,1
671,0
672,3
673,6
674,6
675,1
676,1
677,6
678,1
679,0
680,3
681,9
682,6
683,6
684,1
685,8
686,0
687,6
688,6
689,6
690,1
691,8
692,1
693,6
694,0
695,8
696,1
697,3
698,7
699,0
700,8
701,6
702,1
703,3
704,6
705,0
706,3
707,0
708,6
709,0
710,3
711,0
712,1
713,6
714,1
715,6
716,5
717,7
718,8
719,0
720,6
721,3
722,1
723,6
724,6
725,6
726,1
727,0
728,1
729,0
730,6
731,3
732,1
733,1
734,0
735,1
736,7
737,6
738,5
739,6
740,0
741,6
742,6
743,6
744,6
745,0
746,0
747,6
748,6
749,6
750,1
751,6
752,6
753,6
754,6
755,0
756,8
757,2
758,8
759,3
760,5
761,0
762,6
763,8
764,6
765,6
766,6
767,6
768,3
769,6
770,3
771,6
772,6
773,1
774,6
775,6
776,0
777,1
778,1
779,1
780,1
781,1
782,1
783,3
784,6
785,1
786,0
787,6
788,1
789,1
790,3
791,1
792,6
793,6
794,5
795,6
796,1
797,6
798,0
799,1
800,6
801,6
802,6
803,1
804,7
805,6
806,6
807,3
808,6
809,0
810,6
811,1
812,0
