ID,class
0,6
1,8
2,0
3,9
4,6
5,0
6,3
7,4
8,0
9,0
10,7
11,6
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,9
22,9
23,6
24,2
25,7
26,6
27,9
28,0
29,4
30,5
31,5
32,1
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,4
45,5
46,6
47,4
48,3
49,9
50,6
51,6
52,2
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,6
61,6
62,2
63,4
64,5
65,9
66,0
67,5
68,6
69,3
70,1
71,6
72,6
73,9
74,6
75,4
76,3
77,6
78,1
79,8
80,2
81,5
82,1
83,3
84,1
85,8
86,5
87,7
88,7
89,7
90,8
91,7
92,1
93,1
94,9
95,5
96,6
97,1
98,5
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,8
107,8
108,7
109,5
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,4
118,9
119,3
120,2
121,1
122,5
123,6
124,9
125,6
126,6
127,6
128,6
129,7
130,6
131,1
132,0
133,6
134,8
135,1
136,5
137,9
138,7
139,9
140,6
141,6
142,0
143,6
144,1
145,6
146,2
147,6
148,3
149,6
150,5
151,4
152,7
153,6
154,1
155,1
156,6
157,2
158,1
159,8
160,9
161,8
162,4
163,6
164,1
165,2
166,6
167,8
168,8
169,0
170,7
171,4
172,3
173,0
174,1
175,8
176,6
177,4
178,1
179,5
180,5
181,3
182,6
183,2
184,3
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,5
195,5
196,8
197,7
198,9
199,5
200,3
201,6
202,9
203,5
204,0
205,1
206,3
207,5
208,6
209,8
210,5
211,0
212,1
213,5
214,5
215,8
216,5
217,5
218,5
219,5
220,8
221,7
222,4
223,6
224,1
225,4
226,6
227,6
228,5
229,4
230,9
231,1
232,6
233,5
234,1
235,1
236,6
237,2
238,4
239,6
240,6
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,0
250,3
251,4
252,0
253,8
254,2
255,6
256,4
257,4
258,9
259,8
260,3
261,0
262,6
263,5
264,2
265,8
266,5
267,9
268,6
269,8
270,9
271,1
272,5
273,7
274,0
275,5
276,1
277,9
278,9
279,4
280,9
281,9
282,5
283,0
284,1
285,6
286,2
287,6
288,7
289,4
290,8
291,6
292,7
293,8
294,5
295,0
296,7
297,4
298,1
299,1
300,1
301,4
302,7
303,1
304,8
305,7
306,0
307,6
308,0
309,5
310,6
311,7
312,0
313,2
314,7
315,2
316,5
317,3
318,5
319,8
320,1
321,6
322,3
323,9
324,6
325,2
326,6
327,7
328,4
329,4
330,1
331,5
332,6
333,7
334,4
335,3
336,0
337,5
338,1
339,2
340,5
341,6
342,8
343,7
344,5
345,8
346,5
347,6
348,4
349,9
350,6
351,1
352,2
353,0
354,9
355,0
356,9
357,3
358,7
359,7
360,0
361,6
362,3
363,0
364,8
365,3
366,9
367,1
368,6
369,6
370,4
371,9
372,6
373,4
374,1
375,9
376,9
377,9
378,9
379,6
380,2
381,6
382,1
383,8
384,8
385,2
386,6
387,1
388,6
389,5
390,6
391,5
392,8
393,0
394,6
395,7
396,4
397,5
398,3
399,7
400,5
401,2
402,6
403,3
404,0
405,6
406,8
407,2
408,8
409,6
410,3
411,8
412,1
413,9
414,6
415,7
416,0
417,5
418,5
419,9
420,8
421,5
422,5
423,9
424,6
425,8
426,4
427,5
428,8
429,4
430,5
431,6
432,5
433,6
434,1
435,5
436,0
437,5
438,8
439,7
440,9
441,9
442,1
443,0
444,4
445,1
446,2
447,0
448,5
449,6
450,2
451,1
452,1
453,6
454,1
455,3
456,5
457,5
458,3
459,9
460,9
461,7
462,1
463,1
464,5
465,2
466,0
467,4
468,8
469,1
470,9
471,0
472,8
473,5
474,4
475,6
476,7
477,1
478,6
479,3
480,1
481,0
482,5
483,5
484,8
485,5
486,1
487,4
488,6
489,3
490,0
491,1
492,3
493,0
494,8
495,8
496,9
497,6
498,7
499,1
500,2
501,9
502,4
503,4
504,5
505,0
506,5
507,6
508,2
509,2
510,0
511,9
512,8
513,4
514,0
515,8
516,3
517,6
518,3
519,4
520,5
521,2
522,6
523,5
524,6
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,4
534,7
535,9
536,6
537,7
538,7
539,4
540,0
541,6
542,1
543,7
544,6
