ID,class
0,3
1,8
2,0
3,6
4,6
5,0
6,5
7,0
8,0
9,0
10,4
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,1
21,9
22,9
23,1
24,4
25,7
26,6
27,9
28,0
29,4
30,7
31,5
32,8
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,3
41,9
42,1
43,4
44,4
45,3
46,6
47,4
48,3
49,9
50,6
51,6
52,2
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,2
64,5
65,9
66,0
67,5
68,4
69,6
70,1
71,6
72,5
73,8
74,6
75,4
76,2
77,6
78,9
79,8
80,2
81,5
82,1
83,3
84,1
85,8
86,4
87,7
88,7
89,7
90,8
91,7
92,1
93,1
94,9
95,5
96,4
97,0
98,5
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,4
118,9
119,4
120,2
121,1
122,5
123,6
124,9
125,6
126,3
127,6
128,6
129,7
130,4
131,9
132,0
133,3
134,8
135,9
136,3
137,9
138,7
139,7
140,6
141,6
142,0
143,4
144,0
145,6
146,2
147,6
148,4
149,6
150,7
151,4
152,7
153,6
154,1
155,1
156,5
157,2
158,1
159,8
160,9
161,8
162,8
163,4
164,9
165,7
166,6
167,8
168,8
169,0
170,4
171,4
172,5
173,0
174,1
175,8
176,6
177,3
178,8
179,5
180,5
181,3
182,6
183,2
184,7
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,3
193,6
194,5
195,5
196,8
197,7
198,9
199,5
200,3
201,6
202,9
203,5
204,0
205,1
206,3
207,5
208,6
209,2
210,7
211,0
212,9
213,5
214,5
215,8
216,4
217,3
218,3
219,5
220,8
221,7
222,7
223,6
224,1
225,4
226,4
227,6
228,5
229,4
230,9
231,1
232,6
233,3
234,1
235,1
236,2
237,4
238,4
239,6
240,3
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,1
249,4
250,2
251,4
252,0
253,8
254,2
255,6
256,4
257,0
258,9
259,5
260,4
261,0
262,6
263,3
264,0
265,8
266,5
267,9
268,6
269,8
270,9
271,1
272,3
273,7
274,0
275,5
276,9
277,1
278,1
279,4
280,9
281,9
282,7
283,0
284,9
285,6
286,2
287,6
288,7
289,4
290,8
291,3
292,7
293,8
294,5
295,8
296,7
297,4
298,1
299,1
300,1
301,2
302,7
303,9
304,8
305,4
306,8
307,6
308,0
309,3
310,8
311,7
312,0
313,3
314,7
315,2
316,5
317,4
318,4
319,8
320,1
321,6
322,2
323,9
324,6
325,4
326,3
327,7
328,4
329,4
330,0
331,5
332,6
333,7
334,4
335,3
336,0
337,3
338,1
339,0
340,2
341,4
342,8
343,7
344,3
345,0
346,5
347,6
348,4
349,9
350,6
351,1
352,2
353,0
354,9
355,0
356,9
357,3
358,4
359,4
360,0
361,6
362,4
363,8
364,8
365,3
366,9
367,1
368,6
369,3
370,4
371,9
372,6
373,4
374,1
375,9
376,9
377,9
378,9
379,6
380,2
381,6
382,1
383,0
384,0
385,7
386,6
387,9
388,6
389,3
390,6
391,3
392,8
393,0
394,3
395,7
396,7
397,5
398,3
399,7
400,5
401,4
402,6
403,5
404,0
405,4
406,8
407,5
408,8
409,4
410,4
411,8
412,0
413,9
414,6
415,7
416,0
417,7
418,2
419,9
420,8
421,5
422,5
423,9
424,6
425,8
426,3
427,6
428,8
429,4
430,5
431,6
432,6
433,3
434,9
435,6
436,0
437,7
438,5
439,7
440,9
441,7
442,1
443,0
444,3
445,1
446,4
447,0
448,3
449,6
450,6
451,1
452,9
453,6
454,9
455,3
456,4
457,5
458,3
459,9
460,7
461,7
462,1
463,5
464,5
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,4
477,1
478,6
479,6
480,9
481,0
482,7
483,7
484,8
485,2
486,1
487,4
488,6
489,3
490,0
491,1
492,3
493,0
494,6
495,2
496,4
497,6
498,7
499,1
500,2
501,3
502,9
503,5
504,5
505,6
506,3
507,2
508,2
509,2
510,0
511,9
512,8
513,4
514,0
515,8
516,2
517,3
518,3
519,3
520,5
521,2
522,4
523,5
524,6
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,4
534,7
535,9
536,6
537,7
538,7
539,4
540,4
541,6
542,8
543,7
544,6
545,7
546,9
547,4
548,9
549,3
550,9
551,4
552,5
553,1
554,9
555,7
556,6
557,9
558,6
559,5
560,1
561,6
562,4
563,2
564,3
565,5
566,9
567,1
568,6
569,8
570,5
571,8
572,0
573,2
574,0
575,3
576,0
577,4
578,9
579,4
580,0
581,7
582,3
583,6
584,4
585,4
586,4
587,6
588,7
589,6
590,4
591,8
592,0
593,4
594,3
595,1
596,1
597,2
598,2
599,6
600,8
601,8
602,9
603,6
604,9
605,0
606,4
607,8
608,3
609,3
610,4
611,8
612,7
613,2
614,4
615,5
616,3
617,6
618,3
619,2
620,1
621,5
622,1
623,5
624,7
625,7
626,5
627,3
628,9
629,3
630,6
631,9
632,1
633,0
634,1
635,8
636,8
637,8
638,0
639,3
640,1
641,9
642,6
643,4
644,5
645,9
646,9
647,5
648,8
649,6
650,4
651,7
652,2
653,8
654,5
655,2
656,8
657,4
658,0
659,5
660,8
661,4
662,3
663,7
664,2
665,6
666,1
667,4
668,6
669,8
670,9
671,8
672,5
673,3
674,4
675,1
676,9
677,6
678,9
679,6
680,3
681,8
682,1
683,5
684,1
685,0
686,7
687,5
688,6
689,4
690,1
691,8
692,6
693,7
694,8
695,8
696,9
697,3
698,7
699,0
700,9
701,3
702,7
703,3
704,6
705,0
706,5
707,8
708,4
709,8
710,3
711,0
712,9
713,2
714,6
715,7
716,3
717,7
718,8
719,0
720,4
721,6
722,9
723,2
724,2
725,6
726,9
727,3
728,9
729,3
730,5
731,4
732,9
733,1
734,6
735,9
736,8
737,4
738,5
739,2
740,8
741,6
742,4
743,5
744,2
745,4
746,2
747,4
748,7
749,6
750,1
751,2
752,3
753,7
754,6
755,8
756,0
757,2
758,8
759,6
760,5
761,0
762,6
763,8
764,6
765,6
766,4
767,5
768,5
769,5
770,6
771,2
772,2
773,9
774,2
775,6
776,0
777,1
778,7
779,8
780,3
781,1
782,9
783,3
784,4
785,9
786,5
787,4
788,1
789,8
790,2
791,9
792,7
793,4
794,5
795,5
796,1
797,7
798,8
799,1
800,7
801,7
802,5
803,7
804,7
805,4
806,7
807,7
808,3
809,2
810,6
811,8
812,9
813,3
814,2
815,9
816,0
817,3
818,6
819,6
820,8
821,1
822,5
823,0
824,9
825,3
826,7
827,6
828,6
829,5
830,0
831,3
832,8
833,4
834,6
835,5
836,1
837,0
838,9
839,2
840,4
841,1
842,6
843,1
844,3
845,8
846,8
847,0
848,9
849,8
850,7
851,3
852,3
853,7
854,8
855,4
856,6
857,5
858,6
859,3
860,9
861,4
862,1
863,8
864,7
865,8
866,9
867,4
868,9
869,6
870,6
871,4
872,2
873,1
874,2
875,3
876,6
877,9
878,3
879,3
880,1
881,6
882,4
883,1
884,0
885,5
886,5
887,6
888,9
889,1
890,1
891,4
892,1
893,8
894,3
895,6
896,3
897,0
898,1
899,9
900,8
901,0
902,1
903,9
904,6
905,5
906,4
907,4
908,6
909,6
910,5
911,4
912,1
913,6
914,7
915,5
916,3
917,2
918,2
919,1
920,7
921,2
922,0
923,5
924,0
925,6
926,9
927,2
928,7
929,4
930,8
931,0
932,5
933,6
934,4
935,7
936,1
937,9
938,7
939,1
940,0
941,3
942,8
943,0
944,6
945,8
946,6
947,4
948,9
949,3
950,4
951,3
952,3
953,9
954,6
955,0
956,2
957,1
958,0
959,9
960,3
961,5
962,9
963,1
964,1
965,0
966,1
967,5
968,2
969,4
970,4
971,5
972,8
973,1
974,9
975,1
976,2
977,7
978,6
979,6
980,6
981,5
982,9
983,6
984,7
985,9
986,4
987,7
988,6
989,9
990,4
991,9
992,1
993,4
994,3
995,3
996,1
997,7
998,9
999,6
1000,3
1001,6
1002,6
1003,4
1004,0
1005,5
1006,6
1007,5
1008,9
1009,5
1010,7
1011,1
1012,7
1013,7
1014,0
1015,4
1016,5
1017,9
1018,6
1019,2
1020,2
1021,1
1022,7
1023,2
1024,3
1025,5
1026,3
1027,9
1028,9
1029,8
1030,0
1031,8
1032,9
1033,3
1034,8
1035,1
1036,0
1037,8
1038,6
1039,8
1040,2
1041,6
1042,5
1043,9
1044,3
1045,0
1046,4
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,1
1054,2
1055,1
1056,1
1057,3
1058,3
1059,8
1060,6
1061,2
1062,3
1063,0
1064,6
1065,8
1066,6
1067,1
1068,9
1069,6
1070,4
1071,4
1072,7
1073,1
1074,5
1075,4
1076,1
1077,7
1078,8
1079,9
1080,1
1081,4
1082,7
1083,1
1084,1
1085,9
1086,5
1087,7
1088,9
1089,1
1090,6
1091,8
1092,9
1093,0
1094,5
1095,8
1096,4
1097,3
1098,8
1099,8
1100,8
1101,7
1102,5
1103,5
1104,5
1105,4
1106,0
1107,1
1108,1
1109,3
1110,3
1111,6
1112,6
1113,8
1114,0
1115,4
1116,7
1117,0
1118,8
1119,5
1120,8
1121,3
1122,6
1123,3
1124,6
1125,2
1126,1
1127,9
1128,4
1129,1
1130,3
1131,3
1132,7
1133,4
1134,4
1135,3
1136,4
1137,4
1138,8
1139,4
1140,6
1141,3
1142,7
1143,6
1144,8
1145,5
1146,9
1147,6
1148,0
1149,6
1150,2
1151,4
1152,8
1153,9
1154,4
1155,7
1156,9
1157,2
1158,4
1159,7
1160,6
1161,1
1162,4
1163,5
1164,7
1165,4
1166,0
1167,1
1168,1
1169,8
1170,9
1171,1
1172,0
1173,9
1174,3
1175,6
1176,3
1177,8
1178,3
1179,9
1180,1
1181,1
1182,0
1183,8
1184,1
1185,4
1186,9
1187,1
1188,2
1189,9
1190,7
1191,2
1192,7
1193,2
1194,1
1195,8
1196,6
1197,4
1198,9
1199,9
1200,3
1201,6
1202,6
1203,6
