ID,class
0,6
1,8
2,0
3,6
4,6
5,0
6,5
7,0
8,0
9,0
10,4
11,2
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,1
21,9
22,9
23,1
24,4
25,7
26,6
27,9
28,0
29,4
30,7
31,3
32,8
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,1
42,1
43,4
44,4
45,3
46,6
47,4
48,3
49,9
50,6
51,6
52,4
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,2
64,5
65,9
66,0
67,5
68,6
69,3
70,1
71,6
72,6
73,9
74,6
75,4
76,2
77,6
78,9
79,8
80,4
81,5
82,1
83,3
84,1
85,6
86,3
87,7
88,7
89,7
90,8
91,7
92,1
93,9
94,9
95,5
96,6
97,0
98,5
99,1
100,6
101,0
102,1
103,8
104,0
105,3
106,8
107,1
108,7
109,4
110,7
111,1
112,1
113,6
114,0
115,9
116,1
117,4
118,9
119,4
120,4
121,1
122,5
123,6
124,9
125,6
126,3
127,6
128,6
129,7
130,6
131,9
132,0
133,3
134,8
135,9
136,8
137,9
138,7
139,3
140,6
141,6
142,0
143,6
144,0
145,4
146,2
147,6
148,4
149,6
150,5
151,5
152,7
153,6
154,1
155,9
156,6
157,6
158,1
159,8
160,9
161,8
162,8
163,6
164,9
165,4
166,6
167,1
168,8
169,0
170,7
171,4
172,5
173,0
174,1
175,8
176,7
177,3
178,1
179,5
180,5
181,3
182,6
183,2
184,3
185,9
186,9
187,9
188,1
189,6
190,7
191,0
192,3
193,3
194,5
195,5
196,8
197,7
198,9
199,5
200,0
201,6
202,9
203,4
204,0
205,1
206,3
207,5
208,6
209,8
210,5
211,8
212,9
213,5
214,3
215,8
216,6
217,5
218,3
219,5
220,8
221,7
222,6
223,6
224,1
225,7
226,6
227,6
228,5
229,4
230,9
231,1
232,6
233,3
234,1
235,1
236,6
237,2
238,4
239,6
240,3
241,0
242,4
243,7
244,9
245,6
246,6
247,4
248,1
249,4
250,7
251,3
252,0
253,8
254,5
255,6
256,4
257,5
258,9
259,7
260,3
261,0
262,6
263,5
264,0
265,8
266,5
267,5
268,6
269,8
270,9
271,1
272,2
273,7
274,0
275,5
276,9
277,9
278,1
279,4
280,9
281,9
282,7
283,0
284,9
285,6
286,3
287,6
288,7
289,4
290,8
291,5
292,7
293,8
294,5
295,8
296,7
297,4
298,1
299,1
300,1
301,2
302,7
303,9
304,8
305,4
306,0
307,6
308,0
309,8
310,8
311,7
312,0
313,6
314,7
315,2
316,5
317,5
318,4
319,8
320,1
321,6
322,2
323,9
324,6
325,4
326,6
327,7
328,4
329,4
330,1
331,3
332,6
333,7
334,4
335,3
336,0
337,7
338,1
339,0
340,5
341,4
342,8
343,7
344,3
345,9
346,4
347,6
348,4
349,9
350,6
351,1
352,5
353,9
354,9
355,0
356,9
357,6
358,4
359,7
360,0
361,6
362,4
363,8
364,3
365,3
366,9
367,1
368,6
369,3
370,6
371,9
372,6
373,4
374,1
375,9
376,9
377,9
378,9
379,6
380,2
381,6
382,1
383,0
384,8
385,7
386,6
387,9
388,6
389,3
390,6
391,3
392,9
393,0
394,6
395,7
396,7
397,5
398,5
399,7
400,6
401,4
402,6
403,5
404,0
405,4
406,8
407,6
408,8
409,6
410,6
411,8
412,0
413,9
414,6
415,7
416,0
417,5
418,7
419,9
420,8
421,7
422,5
423,9
424,6
425,8
426,3
427,6
428,8
429,4
430,5
431,6
432,1
433,4
434,9
435,5
436,0
437,7
438,8
439,7
440,9
441,7
442,1
443,6
444,3
445,1
446,4
447,0
448,5
449,6
450,6
451,1
452,1
453,6
454,9
455,3
456,4
457,5
458,3
459,9
460,9
461,7
462,1
463,5
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,3
474,4
475,6
476,4
477,1
478,6
479,6
480,1
481,0
482,7
483,7
484,8
485,2
486,1
487,4
488,6
489,4
490,0
491,1
492,3
493,0
494,8
495,2
496,6
497,6
498,7
499,1
500,2
501,9
502,0
503,3
504,1
505,6
506,6
507,6
508,2
509,2
510,0
511,9
512,8
513,4
514,0
515,8
516,5
517,3
518,3
519,3
520,7
521,2
522,6
523,7
524,6
525,5
526,6
527,6
528,4
529,6
530,4
531,3
532,8
533,6
534,5
535,9
536,6
537,7
538,7
539,4
540,7
541,6
542,0
543,7
544,6
