ID,class
0,9
1,8
2,0
3,5
4,6
5,8
6,5
7,1
8,4
9,2
10,4
11,4
12,1
13,6
14,9
15,8
16,5
17,9
18,8
19,9
20,5
21,8
22,2
23,1
24,2
25,4
26,8
27,9
28,5
29,4
30,3
31,6
32,1
33,4
34,9
35,1
36,6
37,7
38,7
39,6
40,3
41,9
42,1
43,4
44,7
45,2
46,6
47,4
48,2
49,9
50,2
51,6
52,6
53,2
54,1
55,0
56,8
57,0
58,7
59,7
60,2
61,6
62,3
63,4
64,3
65,9
66,0
67,5
68,3
69,3
70,1
71,2
72,6
73,9
74,2
75,4
76,2
77,2
78,1
79,8
80,7
81,5
82,1
83,3
84,1
85,8
86,1
87,4
88,7
89,7
90,0
91,7
92,1
93,0
94,9
95,5
96,2
97,2
98,3
99,1
100,5
101,2
102,1
103,8
104,0
105,5
106,8
107,8
108,7
109,4
110,7
111,1
112,1
113,9
114,9
115,9
116,0
117,4
118,1
119,4
120,0
121,1
122,6
123,6
124,9
125,4
126,5
127,3
128,3
129,7
130,5
131,7
132,0
133,3
134,8
135,9
136,3
137,1
138,7
139,3
140,6
141,6
142,0
143,4
144,0
145,6
146,8
147,6
148,5
149,3
150,8
151,6
152,9
153,7
154,1
155,1
156,5
157,3
158,1
159,8
160,1
161,8
162,8
163,6
164,9
165,3
166,8
167,8
168,8
169,0
170,3
171,4
172,5
173,0
174,9
175,8
176,4
177,3
178,0
179,5
180,5
181,3
182,4
183,2
184,5
185,9
186,9
187,9
188,1
189,6
190,7
191,0
192,5
193,6
194,5
195,5
196,8
197,7
198,9
199,3
200,3
201,2
202,9
203,5
204,0
205,1
206,5
207,5
208,6
209,5
210,5
211,2
212,9
213,5
214,3
215,8
216,4
217,5
218,4
219,5
220,1
221,2
222,6
223,6
224,1
225,4
226,3
227,4
228,5
229,4
230,9
231,1
232,3
233,6
234,1
235,9
236,6
237,2
238,2
239,4
240,6
241,7
242,2
243,5
244,9
245,6
246,6
247,2
248,9
249,4
250,7
251,3
252,8
253,8
254,8
255,5
256,4
257,5
258,9
259,5
260,3
261,0
262,6
263,7
264,0
265,8
266,5
267,7
268,5
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,9
278,1
279,5
280,5
281,9
282,7
283,8
284,1
285,6
286,2
287,3
288,7
289,4
290,8
291,7
292,7
293,1
294,6
295,8
296,7
297,2
298,1
299,9
300,1
301,8
302,7
303,9
304,0
305,4
306,0
307,6
308,1
309,5
310,2
311,7
312,0
313,5
314,7
315,2
316,2
317,2
318,5
319,3
320,0
321,6
322,2
323,2
324,6
325,7
326,3
327,7
328,2
329,4
330,3
331,5
332,1
333,7
334,4
335,2
336,0
337,3
338,1
339,0
340,4
341,0
342,8
343,7
344,6
345,9
346,6
347,3
348,2
349,9
350,5
351,9
352,5
353,0
354,9
355,8
356,9
357,3
358,5
359,1
360,0
361,3
362,4
363,2
364,2
365,7
366,1
367,1
368,6
369,5
370,4
371,9
372,6
373,3
374,1
375,1
376,3
377,9
378,1
379,4
380,2
381,2
382,1
383,0
384,9
385,5
386,6
387,9
388,0
389,5
390,6
391,3
392,2
393,0
394,6
395,0
396,7
397,5
398,5
399,7
400,5
401,4
402,6
403,3
404,4
405,6
406,8
407,4
408,5
409,4
410,6
411,8
412,0
413,1
414,6
415,3
416,0
417,6
418,5
419,8
420,8
421,1
422,3
423,9
424,6
425,8
426,3
427,6
428,8
429,9
430,2
431,6
432,3
433,3
434,8
435,5
436,0
437,3
438,8
439,7
440,9
441,0
442,1
443,3
444,7
445,1
446,4
447,0
448,5
449,3
450,2
451,1
452,9
453,6
454,9
455,3
456,7
457,5
458,3
459,8
460,0
461,3
462,1
463,5
464,6
465,2
466,0
467,7
468,8
469,8
470,1
471,0
472,8
473,5
474,4
475,6
476,0
477,9
478,6
479,3
480,1
481,8
482,5
483,3
484,8
485,5
486,9
487,6
488,6
489,3
490,0
491,9
492,5
493,0
494,4
495,5
496,7
497,9
498,7
499,1
500,5
501,9
502,8
503,0
504,5
505,0
506,3
507,7
508,4
509,5
510,9
511,9
512,8
513,3
514,0
515,8
516,4
517,5
518,3
519,6
520,6
521,3
522,2
523,3
524,9
525,5
526,6
527,6
528,4
529,6
530,0
531,3
532,8
533,4
534,3
535,8
536,6
537,0
538,7
539,4
540,4
541,4
542,6
543,3
544,6
545,9
546,9
547,2
548,1
549,5
550,9
551,4
552,5
553,1
554,9
555,7
556,6
557,9
558,6
559,5
560,1
561,6
562,7
563,2
564,4
565,5
566,9
567,8
568,2
569,8
570,2
571,8
572,0
573,0
574,4
575,3
576,0
577,4
578,9
579,4
580,0
581,7
582,3
583,5
584,2
585,4
586,4
587,3
588,4
589,5
590,3
591,8
592,4
593,4
594,4
595,1
596,9
597,2
598,4
599,3
600,2
601,0
602,1
603,3
604,9
605,0
606,2
607,8
608,5
609,2
610,6
611,9
612,2
613,7
614,7
615,5
616,3
617,6
618,7
619,8
620,8
621,5
622,1
623,5
624,9
625,7
626,7
627,5
628,9
629,5
630,6
631,1
632,7
633,0
634,9
635,8
636,3
637,9
638,0
639,2
640,9
641,8
642,6
643,4
644,5
645,8
646,9
647,2
648,2
649,3
650,4
651,7
652,8
653,0
654,3
655,2
656,8
657,4
658,6
659,6
660,0
661,4
662,3
663,7
664,8
665,6
666,1
667,4
668,6
669,0
670,9
671,0
672,3
673,5
674,7
675,1
676,9
677,6
678,9
679,3
680,3
681,9
682,0
683,5
684,5
685,0
686,7
687,5
688,6
689,4
690,1
691,8
692,1
693,7
694,8
695,8
696,9
697,5
698,7
699,8
700,8
701,3
702,9
703,7
704,5
705,0
706,3
707,8
708,4
709,8
710,6
711,0
712,9
713,2
714,2
715,5
716,4
717,7
718,8
719,0
720,7
721,3
722,9
723,2
724,2
725,6
726,1
727,4
728,9
729,7
730,1
731,4
732,1
733,1
734,9
735,9
736,8
737,4
738,5
739,3
740,8
741,4
742,4
743,3
744,2
745,4
746,2
747,3
748,7
749,5
750,1
751,2
752,3
753,7
754,6
755,8
756,0
757,2
758,8
759,6
760,3
761,0
762,4
763,8
764,3
765,6
766,4
767,5
768,3
769,5
770,0
771,0
772,5
773,3
774,2
775,4
776,0
777,9
778,7
779,1
780,3
781,0
782,9
783,3
784,4
785,1
786,2
787,7
788,9
789,5
790,3
791,1
792,0
793,7
794,5
795,7
796,1
797,6
798,8
799,9
800,6
801,7
802,5
803,5
804,7
805,4
806,7
807,7
808,8
809,0
810,6
811,8
812,4
813,5
814,2
815,9
816,0
817,7
818,9
819,1
820,8
821,1
822,7
823,0
824,9
825,4
826,5
827,6
828,1
829,3
830,2
831,4
832,8
833,4
834,6
835,5
836,0
837,7
838,1
839,5
840,4
841,9
842,3
843,1
844,6
845,3
846,8
847,0
848,9
849,0
850,7
851,6
852,8
853,8
854,8
855,5
856,5
857,9
858,6
859,2
860,9
861,7
862,9
863,8
864,9
865,4
866,9
867,4
868,9
869,3
870,6
871,4
872,0
873,1
874,2
875,3
876,6
877,2
878,2
879,3
880,1
881,6
882,6
883,1
884,0
885,5
886,5
887,6
888,9
889,9
890,9
891,4
892,8
893,0
894,5
895,6
896,5
897,0
898,1
899,0
900,0
901,0
902,1
903,9
904,6
905,5
906,2
907,3
908,4
909,6
910,5
911,3
912,9
913,6
914,7
915,5
916,5
917,3
918,3
919,1
920,4
921,5
922,2
923,8
924,0
925,3
926,1
927,4
928,7
929,2
930,1
931,0
932,2
933,5
934,2
935,3
936,1
937,9
938,9
939,1
940,0
941,6
942,8
943,4
944,4
945,9
946,6
947,4
948,1
949,5
950,3
951,3
952,3
953,9
954,6
955,0
956,5
957,9
958,0
959,2
960,5
961,3
962,9
963,1
964,1
965,0
966,3
967,5
968,7
969,2
970,2
971,5
972,8
973,9
974,9
975,5
976,2
977,7
978,6
979,8
980,6
981,3
982,9
983,2
984,3
985,1
986,3
987,4
988,3
989,7
990,0
991,9
992,1
993,4
994,3
995,5
996,1
997,7
998,9
999,2
1000,3
1001,6
1002,6
1003,6
1004,0
1005,8
1006,6
1007,5
1008,1
1009,5
1010,4
1011,8
1012,7
1013,7
1014,0
1015,4
1016,5
1017,0
1018,4
1019,4
1020,0
1021,1
1022,7
1023,0
1024,3
1025,5
1026,7
1027,9
1028,0
1029,2
1030,8
1031,0
1032,9
1033,5
1034,8
1035,3
1036,0
1037,1
1038,6
1039,8
1040,2
1041,6
1042,3
1043,9
1044,3
1045,7
1046,6
1047,1
1048,6
1049,3
1050,6
1051,7
1052,5
1053,1
1054,3
1055,9
1056,9
1057,5
1058,4
1059,8
1060,6
1061,7
1062,3
1063,0
1064,6
1065,0
1066,7
1067,1
1068,1
1069,2
1070,4
1071,4
1072,7
1073,1
1074,5
1075,5
1076,2
1077,4
1078,8
1079,9
1080,1
1081,4
1082,5
1083,1
1084,1
1085,9
1086,5
1087,9
1088,9
1089,1
1090,6
1091,5
1092,9
1093,4
1094,3
1095,8
1096,4
1097,5
1098,8
1099,8
1100,8
1101,4
1102,3
1103,5
1104,5
1105,7
1106,2
1107,9
1108,7
1109,2
1110,4
1111,0
1112,4
1113,1
1114,0
1115,6
1116,7
1117,8
1118,8
1119,5
1120,8
1121,3
1122,6
1123,7
1124,3
1125,2
1126,1
1127,8
1128,3
1129,1
1130,3
1131,3
1132,8
1133,4
1134,4
1135,3
1136,4
1137,4
1138,9
1139,2
1140,3
1141,5
1142,7
1143,1
1144,8
1145,5
1146,4
1147,6
1148,4
1149,3
1150,5
1151,6
1152,8
1153,9
1154,4
1155,7
1156,9
1157,2
1158,7
1159,5
1160,6
1161,9
1162,4
1163,3
1164,7
1165,3
1166,0
1167,0
1168,7
1169,0
1170,9
1171,1
1172,0
1173,9
1174,9
1175,2
1176,3
1177,3
1178,2
1179,9
1180,1
1181,8
1182,0
1183,9
1184,1
1185,4
1186,8
1187,1
1188,2
1189,9
1190,4
1191,1
1192,1
1193,2
1194,1
1195,8
1196,3
1197,6
1198,9
1199,8
1200,3
1201,6
1202,4
1203,6
1204,1
1205,2
1206,6
1207,4
1208,7
1209,7
1210,4
1211,1
1212,6
1213,2
1214,7
1215,6
1216,8
1217,1
1218,9
1219,6
1220,3
1221,3
1222,8
1223,0
1224,8
1225,9
1226,3
1227,5
1228,4
1229,4
1230,0
1231,2
1232,8
1233,5
1234,5
1235,6
1236,3
1237,9
1238,4
1239,0
1240,1
1241,4
1242,5
1243,9
1244,7
1245,9
1246,9
1247,4
1248,2
1249,7
1250,1
1251,5
1252,2
1253,4
1254,9
1255,1
1256,7
1257,9
1258,3
1259,5
1260,6
1261,4
1262,5
1263,7
1264,6
1265,0
1266,2
1267,9
1268,7
1269,1
1270,8
1271,6
1272,8
1273,0
1274,0
1275,9
1276,8
1277,2
1278,4
1279,5
1280,2
1281,4
1282,7
1283,2
1284,1
1285,3
1286,6
1287,4
1288,4
1289,4
1290,6
1291,0
1292,8
1293,9
1294,4
1295,0
1296,5
1297,1
1298,1
1299,9
1300,2
1301,3
1302,3
1303,6
1304,2
1305,4
1306,5
1307,3
1308,7
1309,7
1310,1
1311,7
1312,4
1313,7
1314,8
1315,5
1316,2
1317,7
1318,5
1319,9
1320,2
1321,3
1322,3
1323,7
1324,0
1325,8
1326,4
1327,4
1328,9
1329,8
1330,9
1331,4
1332,2
1333,4
1334,2
1335,5
1336,0
1337,0
1338,1
1339,7
1340,7
1341,0
1342,5
1343,4
1344,2
1345,7
1346,8
1347,3
1348,4
1349,6
1350,4
1351,0
1352,9
1353,0
1354,0
1355,4
1356,6
1357,6
1358,7
1359,6
1360,4
1361,0
1362,2
1363,7
1364,1
1365,5
1366,3
1367,8
1368,8
1369,2
1370,0
1371,1
1372,9
1373,3
1374,9
1375,4
1376,1
1377,3
1378,5
1379,6
1380,7
1381,7
1382,3
1383,7
1384,7
1385,3
1386,8
1387,6
1388,9
1389,1
1390,3
1391,0
1392,7
1393,5
1394,2
1395,4
1396,8
1397,8
1398,9
1399,9
1400,2
1401,9
1402,7
1403,4
1404,6
1405,5
1406,1
1407,9
1408,1
1409,5
1410,8
1411,9
1412,9
1413,8
1414,1
1415,9
1416,5
1417,4
1418,8
1419,4
1420,9
1421,2
1422,1
1423,8
1424,3
1425,7
1426,9
1427,4
1428,8
1429,3
1430,6
1431,5
1432,8
1433,9
1434,0
1435,5
1436,4
1437,8
1438,5
1439,3
1440,8
1441,3
1442,8
1443,4
1444,2
1445,5
1446,9
1447,9
1448,2
1449,7
1450,8
1451,4
1452,8
1453,2
1454,1
1455,2
1456,7
1457,2
1458,9
1459,8
1460,3
1461,9
1462,2
1463,3
1464,0
1465,4
1466,6
1467,4
1468,8
1469,3
1470,5
1471,2
1472,2
1473,5
1474,5
1475,9
1476,5
1477,4
1478,1
1479,4
1480,8
1481,6
1482,5
1483,3
1484,3
1485,5
1486,9
1487,5
1488,2
1489,1
1490,0
1491,9
1492,6
1493,2
1494,9
1495,5
1496,0
1497,5
1498,2
1499,5
1500,9
1501,4
1502,9
1503,3
1504,2
1505,3
1506,5
1507,1
1508,6
1509,0
1510,3
1511,8
1512,9
1513,2
1514,4
1515,3
1516,4
1517,2
1518,9
1519,8
1520,3
1521,0
1522,4
1523,7
1524,3
1525,3
1526,0
1527,5
1528,5
1529,8
1530,0
1531,1
1532,1
1533,6
1534,2
1535,4
1536,9
1537,4
1538,3
1539,4
1540,2
1541,3
1542,4
1543,5
1544,4
1545,1
1546,5
1547,4
1548,9
1549,1
1550,6
1551,5
1552,6
1553,2
1554,7
1555,8
1556,7
1557,1
1558,6
1559,9
1560,1
1561,6
1562,3
1563,5
1564,4
1565,0
1566,3
1567,7
1568,5
1569,6
1570,9
1571,0
1572,8
1573,9
1574,8
1575,4
1576,7
1577,3
1578,0
1579,0
1580,9
1581,5
1582,5
1583,8
1584,2
1585,9
1586,4
1587,6
1588,7
1589,5
1590,1
1591,6
1592,0
1593,4
1594,4
1595,4
1596,7
1597,7
1598,2
1599,6
1600,7
1601,3
1602,8
1603,3
1604,8
1605,2
1606,2
1607,4
1608,8
1609,3
1610,5
1611,8
1612,7
1613,9
1614,1
1615,0
1616,7
1617,5
1618,9
1619,6
1620,9
1621,9
1622,9
1623,4
1624,2
1625,6
1626,4
1627,3
1628,9
1629,1
1630,3
1631,7
1632,3
1633,3
1634,8
