ID,class
0,9
1,9
2,0
3,5
4,4
5,8
6,5
7,0
8,4
9,0
10,4
11,4
12,1
13,6
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,9
22,1
23,1
24,7
25,7
26,0
27,1
28,9
29,4
30,3
31,8
32,1
33,4
34,9
35,1
36,5
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,2
45,0
46,3
47,4
48,3
49,9
50,3
51,2
52,8
53,6
54,1
55,4
56,8
57,0
58,7
59,7
60,4
61,6
62,6
63,4
64,3
65,9
66,0
67,5
68,5
69,3
70,1
71,6
72,6
73,9
74,6
75,6
76,5
77,2
78,1
79,8
80,9
81,3
82,1
83,3
84,1
85,2
86,0
87,4
88,7
89,7
90,0
91,7
92,1
93,8
94,9
95,5
96,6
97,4
98,5
99,9
100,5
101,2
102,1
103,8
104,0
105,5
106,8
107,9
108,7
109,3
110,7
111,1
112,8
113,3
114,0
115,1
116,7
117,4
118,1
119,4
120,0
121,1
122,3
123,9
124,9
125,2
126,5
127,6
128,6
129,7
130,6
131,9
132,0
133,3
134,9
135,9
136,3
137,9
138,7
139,9
140,0
141,6
142,4
143,5
144,8
145,2
146,2
147,3
148,7
149,6
150,3
151,4
152,4
153,7
154,1
155,1
156,5
157,4
158,1
159,0
160,9
161,8
162,8
163,6
164,1
165,5
166,3
167,1
168,8
169,0
170,4
171,4
172,6
173,0
174,9
175,8
176,4
177,3
178,0
179,4
180,5
181,3
182,4
183,4
184,2
185,9
186,9
187,9
188,1
189,3
190,7
191,0
192,3
193,2
194,3
195,5
196,7
197,2
198,1
199,5
200,5
201,5
202,1
203,5
204,0
205,1
206,3
207,3
208,5
209,5
210,7
211,0
212,9
213,5
214,3
215,0
216,5
217,3
218,3
219,3
220,1
221,2
222,8
223,5
224,1
225,5
226,5
227,3
228,5
229,4
230,9
231,1
232,5
233,5
234,1
235,9
236,6
237,2
238,4
239,4
240,6
241,0
242,2
243,7
244,9
245,7
246,4
247,2
248,1
249,4
250,7
251,7
252,0
253,8
254,0
255,6
256,4
257,3
258,7
259,9
260,3
261,1
262,6
263,3
264,0
265,8
266,5
267,3
268,7
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,1
278,1
279,5
280,5
281,9
282,7
283,8
284,1
285,6
286,4
287,6
288,7
289,7
290,8
291,7
