ID,class
0,9
1,8
2,0
3,5
4,6
5,0
6,5
7,0
8,4
9,4
10,4
11,3
12,1
13,3
14,9
15,8
16,5
17,1
18,8
19,9
20,9
21,8
22,1
23,1
24,7
25,7
26,9
27,5
28,0
29,7
30,7
31,6
32,1
33,4
34,9
35,9
36,6
37,7
38,7
39,4
40,5
41,9
42,1
43,4
44,4
45,4
46,6
47,4
48,3
49,9
50,3
51,6
52,0
53,6
54,1
55,2
56,8
57,0
58,7
59,7
60,2
61,6
62,6
63,4
64,2
65,9
66,0
67,5
68,3
69,6
70,1
71,2
72,6
73,9
74,6
75,4
76,2
77,7
78,1
79,4
80,2
81,3
82,1
83,3
84,1
85,2
86,5
87,7
88,7
89,7
90,0
91,7
92,1
93,6
94,9
95,5
96,6
97,2
98,2
99,1
100,6
101,0
102,1
103,8
104,0
105,5
106,1
107,9
108,6
109,4
110,7
111,1
112,1
113,3
114,0
115,9
116,1
117,4
118,1
119,4
120,2
121,1
122,6
123,6
124,9
125,2
126,3
127,6
128,3
129,7
130,2
131,9
132,8
133,3
134,1
135,9
136,6
137,1
138,7
139,5
140,2
141,6
142,7
143,2
144,0
145,6
146,0
147,6
148,6
149,6
150,5
151,4
152,4
153,2
154,1
155,1
156,3
157,5
158,1
159,0
160,9
161,8
162,4
163,6
164,9
165,7
166,8
167,1
168,8
169,0
170,7
171,4
172,5
173,0
174,8
175,8
176,3
177,3
178,0
179,3
180,5
181,3
182,6
183,2
184,3
185,9
186,9
187,9
188,9
189,6
190,7
191,0
192,4
193,2
194,5
195,5
196,8
197,7
198,9
199,1
200,5
201,6
202,1
203,4
204,0
205,1
206,3
207,3
208,6
209,7
210,5
211,0
212,8
213,5
214,3
215,8
216,4
217,3
218,4
219,6
220,1
221,2
222,2
223,6
224,1
225,5
226,2
227,2
228,5
229,4
230,9
231,1
232,3
233,6
234,2
235,9
236,6
237,2
238,2
239,4
240,6
241,0
242,4
243,5
244,9
245,6
246,6
247,4
248,9
249,4
250,7
251,7
252,0
253,8
254,0
255,6
256,4
257,3
258,5
259,6
260,2
261,0
262,6
263,4
264,0
265,8
266,8
267,3
268,3
269,8
270,9
271,9
272,5
273,7
274,0
275,5
276,9
277,1
278,1
279,3
280,5
281,9
282,7
283,8
284,1
285,6
286,6
287,6
288,7
289,7
290,0
291,7
292,7
293,3
294,7
295,8
296,7
297,7
298,5
299,1
300,1
301,2
302,7
303,9
304,0
305,2
306,0
307,6
308,0
309,3
310,3
311,7
312,0
313,6
314,3
315,2
316,3
317,5
318,5
319,3
320,1
321,6
322,2
323,9
324,6
325,4
326,3
327,7
328,6
329,6
330,0
331,3
332,9
333,7
334,6
335,3
336,2
337,5
338,1
339,0
340,3
341,8
342,8
343,7
344,6
345,8
346,2
347,2
348,2
349,9
350,5
351,1
352,2
353,9
354,9
355,8
356,9
357,3
358,7
359,0
360,0
361,3
362,6
363,8
364,8
365,8
366,1
367,1
368,6
369,3
370,6
371,6
372,6
373,5
374,1
375,1
376,3
377,9
378,1
379,6
380,2
381,2
382,1
383,8
384,8
385,5
386,6
387,9
388,1
389,3
390,6
391,3
392,1
393,0
394,6
395,0
396,3
397,5
398,5
399,7
400,7
401,4
402,6
403,3
404,0
405,6
406,0
407,5
408,8
409,4
410,4
411,8
412,0
413,9
414,6
415,5
416,0
417,9
418,7
419,9
420,8
421,5
422,3
423,9
424,6
425,8
426,3
427,6
428,8
429,4
430,3
431,6
432,3
433,3
434,8
435,5
436,0
437,5
438,8
439,7
440,9
441,9
442,1
443,0
444,9
445,1
446,4
447,0
448,5
449,5
450,2
451,1
452,0
453,6
454,9
455,3
456,3
457,5
458,6
459,8
460,9
461,3
462,1
463,5
464,6
465,2
466,0
467,4
468,8
469,8
470,9
471,0
472,8
473,5
474,4
475,6
476,7
477,1
478,6
479,3
480,1
481,0
482,5
483,7
484,8
485,3
486,1
487,4
488,6
489,3
490,0
491,1
492,5
493,0
494,2
495,5
496,7
497,6
498,7
499,1
500,5
501,3
502,9
503,0
504,3
505,5
506,6
507,6
508,4
509,3
510,8
511,9
512,8
513,5
514,0
515,8
516,3
517,4
518,7
519,6
520,3
521,5
522,2
523,3
524,9
525,7
526,6
527,6
528,4
529,6
530,8
531,3
532,8
533,4
534,7
535,8
536,6
537,4
538,7
539,4
540,2
541,3
542,6
543,9
544,3
545,3
546,1
547,3
548,1
549,3
550,9
551,1
552,5
553,1
554,1
555,7
556,6
557,9
558,3
559,5
560,9
561,6
562,7
563,2
564,4
565,1
566,9
567,8
568,2
569,8
570,6
571,8
572,9
573,4
574,4
575,3
576,0
577,4
578,9
579,4
580,0
581,7
582,5
583,5
584,6
585,4
586,4
587,6
588,2
589,3
590,6
591,8
592,4
593,4
594,8
595,1
596,1
597,2
598,7
599,5
600,4
601,8
602,1
603,3
604,1
605,0
606,2
607,8
608,3
609,5
610,6
611,9
612,3
613,3
614,3
615,5
616,5
617,6
618,6
619,8
620,8
621,5
622,4
623,5
624,9
625,7
626,6
627,3
628,9
629,1
630,6
631,9
632,7
633,0
634,9
635,8
636,4
637,9
638,9
639,5
640,1
641,9
642,6
643,2
644,5
645,9
646,3
647,6
648,8
649,5
650,4
651,7
652,3
653,0
654,3
655,4
656,8
657,4
658,0
659,6
660,8
661,4
662,6
663,7
664,3
665,6
666,3
667,4
668,6
669,8
670,9
671,8
672,3
673,2
674,7
675,0
676,1
677,5
678,9
679,7
680,3
681,9
682,6
683,3
684,5
685,2
686,0
687,5
688,5
689,2
690,1
691,8
692,9
693,7
694,8
695,8
696,9
697,5
698,7
699,8
700,8
701,3
702,9
703,5
704,2
705,4
706,3
707,8
708,2
709,8
710,3
711,8
712,3
713,2
714,2
715,7
716,3
717,7
718,8
719,0
720,4
721,4
722,3
723,7
724,2
725,6
726,1
727,3
728,9
729,3
730,2
731,4
732,1
733,1
734,3
735,9
736,1
737,4
738,6
739,6
740,8
741,4
742,4
743,5
744,4
745,3
746,3
747,3
748,7
749,9
750,1
751,2
752,6
753,7
754,6
755,4
756,0
757,2
758,8
759,6
760,3
761,0
762,2
763,8
764,5
765,3
766,5
767,5
768,3
769,3
770,1
771,2
772,5
773,5
774,6
775,6
776,0
777,9
778,3
779,1
780,2
781,1
782,7
783,3
784,4
785,9
786,4
787,2
788,1
789,3
790,5
791,8
792,2
793,7
794,5
795,5
796,9
797,6
798,8
799,9
800,9
801,7
802,5
803,3
804,4
805,4
806,7
807,7
808,4
809,0
810,5
811,8
812,9
813,5
814,6
815,9
816,0
817,7
818,3
819,6
820,8
821,1
822,7
823,8
824,9
825,2
826,5
827,6
828,9
829,3
830,2
831,5
832,8
833,4
834,6
835,5
836,9
837,0
838,9
839,5
840,4
841,9
842,3
843,1
844,6
845,0
846,8
847,8
848,1
849,8
850,1
851,6
852,9
853,2
854,8
855,4
856,6
857,1
858,6
859,4
860,9
861,2
862,9
863,8
864,9
865,4
866,1
867,2
868,9
869,3
870,6
871,4
872,2
873,1
874,2
875,5
876,3
877,9
878,6
879,3
880,1
881,6
882,6
883,1
884,0
885,5
886,5
887,5
888,9
889,1
890,1
891,4
892,8
893,0
894,3
895,6
896,3
897,8
898,9
899,8
900,0
901,0
902,1
903,9
904,5
905,5
906,4
907,5
908,4
909,6
910,5
911,7
912,1
913,6
914,7
915,0
916,5
917,2
918,2
919,1
920,2
921,5
922,2
923,8
924,0
925,3
926,7
927,6
928,7
929,6
930,8
931,0
932,5
933,6
934,0
935,3
936,1
937,1
938,9
939,0
940,0
941,6
942,8
943,3
944,6
945,9
946,6
947,4
948,9
949,3
950,3
951,2
952,6
953,9
954,8
955,0
956,3
957,9
958,3
959,6
960,4
961,5
962,9
963,8
964,1
965,0
966,1
967,3
968,2
969,2
970,3
971,5
972,5
973,9
974,9
975,8
976,2
977,7
978,6
979,8
980,6
981,3
982,9
983,6
984,7
985,0
986,7
987,7
988,3
989,9
990,0
991,9
992,1
993,2
994,3
995,2
996,9
997,7
998,9
999,2
1000,5
1001,6
1002,7
1003,6
1004,0
1005,3
1006,6
1007,3
1008,9
1009,5
1010,4
1011,3
1012,7
1013,7
1014,0
1015,7
1016,3
1017,9
1018,6
1019,2
1020,0
1021,9
1022,7
1023,2
1024,5
1025,3
1026,2
1027,1
1028,0
1029,6
1030,8
1031,0
1032,9
1033,3
1034,9
1035,2
1036,0
1037,9
1038,5
1039,8
1040,2
1041,6
1042,6
1043,2
1044,3
1045,0
1046,5
1047,1
1048,6
1049,5
1050,6
1051,7
1052,7
1053,1
1054,3
1055,9
1056,9
1057,2
1058,4
1059,9
1060,6
1061,4
1062,5
1063,8
1064,3
1065,0
1066,6
1067,1
1068,9
1069,3
1070,4
1071,2
1072,9
1073,1
1074,2
1075,3
1076,1
1077,7
1078,8
1079,9
1080,1
1081,6
1082,8
1083,1
1084,1
1085,9
1086,3
1087,9
1088,9
1089,1
1090,6
1091,8
1092,9
1093,7
1094,3
1095,8
1096,4
1097,6
1098,8
1099,8
1100,8
1101,7
1102,3
1103,5
1104,5
1105,4
1106,0
1107,9
1108,1
1109,2
1110,5
1111,0
1112,6
1113,9
1114,0
1115,2
1116,7
1117,8
1118,8
1119,3
1120,8
1121,5
1122,6
1123,6
1124,3
1125,4
1126,1
1127,8
1128,3
1129,9
1130,6
1131,5
1132,9
1133,4
1134,4
1135,3
1136,2
1137,3
1138,9
1139,4
1140,5
1141,5
1142,7
1143,3
1144,8
1145,5
1146,1
1147,6
1148,0
1149,3
1150,6
1151,6
1152,2
1153,9
1154,7
1155,7
1156,9
1157,2
1158,3
1159,7
1160,3
1161,9
1162,4
1163,3
1164,7
1165,3
1166,9
1167,0
1168,7
1169,8
1170,1
1171,1
1172,0
1173,3
1174,9
1175,6
1176,6
1177,3
1178,9
1179,9
1180,1
1181,8
1182,8
1183,8
1184,1
1185,4
1186,8
1187,1
1188,0
1189,9
1190,4
1191,1
1192,3
1193,3
1194,1
1195,8
1196,3
1197,3
1198,9
1199,1
1200,8
1201,5
1202,6
1203,3
1204,1
1205,2
1206,6
1207,2
1208,7
1209,7
1210,4
1211,1
1212,6
1213,8
1214,7
1215,6
1216,0
1217,9
1218,1
1219,3
1220,3
1221,5
1222,7
1223,0
1224,8
1225,9
1226,3
1227,5
1228,5
1229,4
1230,0
1231,2
1232,8
1233,5
1234,7
1235,5
1236,4
1237,1
1238,4
1239,8
1240,8
1241,4
1242,6
1243,9
1244,7
1245,1
1246,1
1247,6
1248,9
1249,3
1250,1
1251,5
1252,5
1253,4
1254,9
1255,1
1256,5
1257,9
1258,3
1259,5
1260,6
1261,4
1262,6
1263,7
1264,3
1265,4
1266,4
1267,9
1268,7
1269,1
1270,8
1271,5
1272,8
1273,1
1274,2
1275,3
1276,8
1277,2
1278,4
1279,2
1280,3
1281,0
1282,4
1283,4
1284,9
1285,3
1286,6
1287,2
1288,2
1289,4
1290,2
1291,0
1292,3
1293,9
1294,4
1295,5
1296,7
1297,1
1298,7
1299,3
1300,2
1301,6
1302,3
1303,6
1304,2
1305,8
1306,5
1307,3
1308,7
1309,2
1310,8
1311,7
1312,6
1313,7
1314,8
1315,4
1316,0
1317,4
1318,5
1319,9
1320,3
1321,5
1322,3
1323,7
1324,8
1325,8
1326,7
1327,7
1328,9
1329,8
1330,9
1331,7
1332,2
1333,4
1334,2
1335,3
1336,1
1337,2
1338,1
1339,7
1340,3
1341,0
1342,5
1343,7
1344,9
1345,3
1346,8
1347,5
1348,8
1349,6
1350,6
1351,0
1352,5
1353,4
1354,1
1355,2
1356,7
1357,5
1358,7
1359,6
1360,6
1361,7
1362,2
1363,7
1364,1
1365,3
1366,3
1367,8
1368,8
1369,2
1370,0
1371,3
1372,9
1373,3
1374,1
1375,4
1376,1
1377,6
1378,3
1379,6
1380,7
1381,9
1382,3
1383,1
1384,7
1385,7
1386,8
1387,6
1388,9
1389,9
1390,5
1391,8
1392,3
1393,5
1394,5
1395,2
1396,8
1397,8
1398,9
1399,3
1400,8
1401,9
1402,7
1403,6
1404,4
1405,5
1406,9
1407,9
1408,1
1409,4
1410,8
1411,1
1412,1
1413,8
1414,1
1415,9
1416,3
1417,9
1418,6
1419,7
1420,9
1421,5
1422,1
1423,8
1424,6
1425,4
1426,8
1427,4
1428,8
1429,7
1430,4
1431,5
1432,0
1433,7
1434,0
1435,5
1436,4
1437,8
1438,5
1439,3
1440,8
1441,3
1442,8
1443,2
1444,2
1445,5
1446,9
1447,9
1448,7
1449,7
1450,8
1451,4
1452,8
1453,2
1454,1
1455,2
1456,7
1457,6
1458,9
1459,3
1460,4
1461,1
1462,6
1463,3
1464,0
1465,4
1466,7
1467,4
1468,8
1469,3
1470,5
1471,2
1472,4
1473,3
1474,3
1475,3
1476,5
1477,6
1478,1
1479,4
1480,8
1481,6
1482,6
1483,7
1484,3
1485,3
1486,9
1487,5
1488,4
1489,1
1490,0
1491,9
1492,6
1493,2
1494,9
1495,3
1496,4
1497,4
1498,3
1499,6
1500,9
1501,4
1502,8
1503,6
1504,4
1505,5
1506,7
1507,3
1508,4
1509,8
1510,4
1511,8
1512,9
1513,4
1514,2
1515,2
1516,4
1517,2
1518,9
1519,9
1520,3
1521,0
1522,5
1523,7
1524,6
1525,5
1526,0
1527,2
1528,2
1529,0
1530,0
1531,1
1532,7
1533,6
1534,4
1535,6
1536,1
1537,4
1538,9
1539,6
1540,3
1541,3
1542,6
1543,7
1544,4
1545,1
1546,3
1547,4
1548,9
1549,9
1550,5
1551,3
1552,0
1553,7
1554,7
1555,8
1556,3
1557,2
1558,6
1559,1
1560,0
1561,6
1562,3
1563,6
1564,6
1565,8
1566,3
1567,7
1568,3
1569,3
1570,3
1571,0
1572,8
1573,9
1574,8
1575,7
1576,7
1577,3
1578,8
1579,0
1580,8
1581,3
1582,5
1583,8
1584,0
1585,9
1586,3
1587,6
1588,3
1589,5
1590,1
1591,6
1592,8
1593,4
1594,2
1595,3
1596,7
1597,8
1598,5
1599,6
1600,7
1601,4
1602,1
1603,5
1604,0
1605,2
1606,0
1607,4
1608,8
1609,7
1610,5
1611,8
1612,1
1613,9
1614,3
1615,0
1616,4
1617,3
1618,1
1619,6
1620,9
1621,9
1622,9
1623,4
1624,2
1625,6
1626,3
1627,3
1628,1
1629,1
1630,3
1631,7
1632,6
1633,5
1634,0
