ID,class
0,8
1,8
2,0
3,7
4,4
5,0
6,7
7,0
8,4
9,4
10,2
11,6
12,1
13,3
14,1
15,8
16,5
17,1
18,8
19,1
20,1
21,8
22,1
23,1
24,2
25,7
26,8
27,1
28,0
29,2
30,7
31,6
32,1
33,4
34,7
35,1
36,6
37,7
38,7
39,4
40,3
41,1
42,1
43,4
44,2
45,0
46,6
47,4
48,5
49,1
50,2
51,2
52,0
53,6
54,1
55,2
56,8
57,8
58,7
59,7
60,2
61,3
62,6
63,2
64,3
65,7
66,0
67,5
68,5
69,2
70,1
71,2
72,6
73,8
74,6
75,6
76,2
77,5
78,1
79,4
80,0
81,6
82,1
83,3
84,1
85,2
86,2
87,7
88,7
89,7
90,0
91,7
92,5
93,2
94,1
95,5
96,2
97,2
98,2
99,1
100,6
101,2
102,1
103,8
104,0
105,5
106,8
107,8
108,7
109,5
110,7
111,1
112,3
113,1
114,0
115,0
116,4
117,4
118,1
119,4
120,0
121,1
122,6
123,6
124,1
125,2
126,5
127,6
128,3
129,7
130,2
131,1
132,0
133,4
134,1
135,1
136,6
137,1
138,7
139,3
140,4
141,6
142,0
143,4
144,8
145,6
146,2
147,6
148,4
149,7
150,8
151,2
152,1
153,2
154,1
155,1
156,5
157,4
158,1
159,8
160,1
161,8
162,0
163,0
164,1
165,5
166,2
167,1
168,8
169,0
170,4
171,4
172,5
173,0
174,1
175,8
176,7
177,3
178,0
179,5
180,5
181,3
182,4
183,4
184,2
185,1
186,8
187,0
188,1
189,5
190,7
191,0
192,3
193,6
194,5
195,5
196,4
197,7
198,1
199,5
200,3
201,5
202,1
203,5
204,0
205,1
206,3
207,3
208,6
209,5
210,5
211,0
212,8
213,5
214,5
215,8
216,2
217,5
218,3
219,6
220,1
221,2
222,7
223,6
224,1
225,4
226,5
227,0
228,5
229,4
230,8
231,1
232,3
233,3
234,1
235,6
236,6
237,4
238,4
239,4
240,6
241,0
242,4
243,5
244,1
245,6
246,6
247,2
248,1
249,4
250,7
251,7
252,0
253,8
254,2
255,6
256,4
257,3
258,2
259,5
260,3
261,0
262,6
263,7
264,0
265,8
266,5
267,3
268,0
269,8
270,1
271,1
272,5
273,7
274,0
275,5
276,3
277,1
278,1
279,4
280,6
281,8
282,7
283,0
284,1
285,6
286,2
287,6
288,4
289,4
290,8
291,7
292,7
293,1
294,5
295,8
296,7
297,2
298,1
299,1
300,1
301,0
302,7
303,1
304,0
305,3
306,4
307,6
308,0
309,8
310,5
311,7
312,0
313,2
314,7
315,2
316,3
317,2
318,5
319,8
320,1
321,6
322,0
323,1
324,4
325,4
326,6
327,7
328,2
329,7
330,1
331,2
332,3
333,3
334,4
335,2
336,2
337,3
338,1
339,0
340,4
341,0
